wavelength,intensity
0,0.0
1,3.1606997265764514e-06
2,0.0
3,0.0
4,0.0
5,0.0
6,1.2070584953412857e-05
7,5.274156295172898e-06
8,0.0
9,6.325607456044185e-05
10,4.319591576647137e-05
11,0.0
12,2.2682512838198127e-05
13,6.343124126175805e-05
14,1.542736396058769e-05
15,0.0
16,0.0001278933079769591
17,0.00010881636969016541
18,0.0
19,0.0
20,8.042104318242542e-05
21,0.0
22,1.7183467592520182e-05
23,0.00010574109877229463
24,0.0
25,0.0
26,0.0
27,1.7123292898613412e-05
28,0.0
29,0.0
30,2.2199222526173542e-05
31,6.301245748206548e-05
32,0.0
33,6.462210011391201e-05
34,0.0
35,8.576493829506999e-05
36,6.566898086758143e-05
37,9.682475041076416e-06
38,9.449198409215448e-06
39,2.960616061553508e-05
40,0.0
41,2.2611354262580477e-05
42,3.8802810633350856e-05
43,7.796687133633862e-05
44,3.2916146790218016e-05
45,0.0
46,0.0
47,0.0
48,4.299889759205268e-05
49,4.1416477572526824e-05
50,0.00014557885129208066
51,2.4369743315060494e-05
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,6.74458531916007e-05
59,9.03856134262728e-05
60,3.393872619396611e-05
61,0.0
62,0.0
63,5.695041778030021e-05
64,0.0
65,4.9252134742086434e-05
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,9.531709787594351e-05
73,0.0
74,0.0
75,5.799455187653492e-05
76,0.0
77,0.0
78,5.7287510263220154e-05
79,8.90963635315928e-05
80,0.0
81,0.0
82,2.0338502448240888e-05
83,2.7245564388929232e-05
84,7.390055712116148e-05
85,0.0
86,3.5598466270855084e-05
87,0.0
88,0.00013368391797143457
89,0.0
90,0.0001545288793487222
91,2.7188577744525718e-05
92,4.876024919856522e-06
93,6.717166208514815e-05
94,0.0
95,0.0
96,1.0793275396913148e-05
97,3.666360460162731e-05
98,0.0
99,8.179543745717222e-05
100,3.6176481217639884e-06
101,7.636744154003863e-05
102,0.0
103,2.027099655368244e-05
104,4.531173299759555e-05
105,0.0
106,2.89615860004923e-05
107,0.0
108,0.0
109,0.0
110,1.9830877374373608e-05
111,0.0
112,0.0
113,0.0
114,0.0
115,0.0
116,0.0
117,0.0
118,5.053442411539852e-05
119,0.0
120,0.0
121,0.0
122,0.0
123,2.9669778468454392e-05
124,1.2560287095751648e-06
125,0.0
126,1.4899013873449387e-06
127,3.278024547077059e-06
128,0.00012882242221042063
129,5.496761486617973e-05
130,0.0
131,0.0
132,0.0
133,0.0
134,0.0
135,2.3472134472467634e-05
136,0.0
137,1.9914023457641197e-05
138,0.0
139,0.0
140,0.0
141,5.887241817942114e-05
142,0.00013980295136934288
143,0.0
144,2.2823649293800093e-05
145,4.1278398505390206e-05
146,7.075717858910202e-05
147,0.0
148,0.0
149,3.25784050643995e-05
150,0.0
151,0.0
152,0.0
153,2.567833915297098e-05
154,5.7080757327360995e-05
155,0.0
156,0.0
157,4.8946928779960176e-05
158,3.59493371781234e-05
159,0.0
160,1.1144324993301702e-05
161,0.0
162,1.8824775768078792e-05
163,0.0
164,0.0
165,3.321260903477286e-05
166,0.00010663060646536804
167,3.309075712312276e-05
168,8.446252610071744e-06
169,0.0
170,6.4527567342628846e-06
171,0.0
172,2.3733797547855416e-05
173,0.0
174,0.0
175,2.3671660662202e-05
176,4.230160587352043e-05
177,4.8207337047582614e-05
178,0.0
179,0.0
180,0.0
181,8.503230420016388e-06
182,2.0266520458757162e-05
183,0.0
184,9.019238896175695e-06
185,0.0
186,0.0
187,2.93173623468802e-05
188,0.0
189,0.0
190,0.0
191,2.7417438485442205e-05
192,4.6521813336509034e-05
193,2.979840450278034e-05
194,0.0
195,0.0
196,8.775432268581333e-05
197,0.0
198,0.0
199,0.0
200,0.0
201,0.000127006297235914
202,0.0
203,0.0
204,1.115581576873844e-05
205,0.0
206,1.6142815713765058e-05
207,0.0
208,0.0
209,0.0
210,0.0
211,8.924668622028239e-06
212,1.2776656408466469e-05
213,7.402201237717306e-05
214,0.0
215,0.0
216,2.9706295978139458e-05
217,0.0
218,1.813795291167323e-05
219,9.120659000064181e-06
220,3.064456799655155e-05
221,5.946337880840281e-05
222,6.350950967150777e-05
223,0.0
224,0.00017121544688598135
225,6.245582412287788e-06
226,9.985768339322701e-05
227,0.0
228,1.2182757623872412e-05
229,6.758933368557241e-05
230,0.0
231,9.30864356780444e-06
232,0.0
233,0.0
234,3.132518028541583e-05
235,0.0
236,0.0
237,0.0
238,6.493515300401494e-05
239,0.0
240,2.042936094141629e-05
241,8.51598073843779e-05
242,0.0
243,7.854833898505969e-05
244,0.0
245,0.0
246,0.0
247,4.1268901492842824e-05
248,0.0
249,5.007224647251674e-05
250,0.0
251,0.0
252,0.0
253,0.0
254,0.00010801918592381086
255,0.0
256,4.249595665915221e-05
257,7.366712966322835e-05
258,0.0
259,0.0
260,0.0
261,0.0
262,0.0
263,1.8737824416818528e-05
264,0.0
265,1.0954593969832747e-05
266,0.0
267,0.0
268,0.0
269,0.0
270,0.0
271,0.0
272,2.545167915077745e-05
273,0.0
274,0.0
275,4.3798353273515293e-07
276,1.8859638092480164e-05
277,0.0
278,0.0
279,0.0
280,4.59722962807236e-05
281,0.0
282,0.0
283,0.0
284,0.00014642205317419842
285,3.6782213348914796e-06
286,3.198445356342529e-05
287,2.434836606689871e-05
288,0.0
289,0.0
290,1.2589038996679498e-05
291,0.0
292,9.256985177785132e-05
293,5.070695172321006e-05
294,8.549025320889638e-05
295,4.440538173011132e-05
296,0.0
297,7.475319015912919e-05
298,7.600444600172116e-05
299,7.539931793903742e-06
300,2.1063972856885184e-05
301,0.0
302,2.931959769460901e-06
303,2.1499789818973047e-05
304,2.4987282560380323e-05
305,0.0
306,4.112452059531535e-05
307,7.962266895966195e-05
308,3.212442264734844e-05
309,8.742478858404188e-06
310,2.3260721557685955e-06
311,4.998421491692022e-05
312,0.0
313,0.0
314,5.433730585669223e-06
315,0.0
316,0.00010034287229593043
317,0.0
318,0.0
319,0.0
320,0.0
321,0.0
322,8.018775598733843e-05
323,0.0
324,7.17890583989609e-05
325,0.0
326,2.9130793098966974e-06
327,8.17175031294866e-05
328,8.365968368987044e-06
329,4.399852365648998e-06
330,0.0
331,7.289583184962164e-05
332,1.349605164918602e-06
333,6.772099520560446e-05
334,8.728444217200015e-05
335,0.00010133306882783442
336,2.227004458677459e-05
337,4.894735200233638e-05
338,1.831860827098001e-05
339,0.0
340,4.7192377376315044e-05
341,2.2776887820607776e-05
342,8.308682374466723e-06
343,0.0
344,1.0199602635522839e-05
345,0.0
346,0.0
347,0.0
348,7.813783389681214e-05
349,8.803976034330172e-05
350,0.0
