wavelength,intensity
165.8495,0.0
166.3316,2.295092904016702e-07
166.8137,7.16937149432414e-07
167.2958,1.7144319988425694e-06
167.778,5.42103653082067e-06
168.2601,5.485850736859322e-06
168.7422,3.2794087517264807e-06
169.2243,2.2699275169185794e-07
169.7064,8.246585829144746e-07
170.1885,3.532885779846223e-06
170.6707,8.985444503638934e-06
171.1528,1.3358825119629394e-05
171.6349,1.6650661402595274e-05
172.117,1.9089279540024727e-05
172.5991,2.0646706676779203e-05
173.0812,2.127678202573459e-05
173.5634,2.1773383846626386e-05
174.0455,2.0793349605875258e-05
174.5276,2.0874586772627076e-05
175.0097,2.380980673094833e-05
175.4918,2.9177278323180758e-05
175.9739,3.4929780338014465e-05
176.4561,3.868418455901247e-05
176.9382,3.9655932162663274e-05
177.4203,4.1553702976836695e-05
177.9024,4.564238014988816e-05
178.3845,4.952848807885518e-05
178.8666,5.128332531289788e-05
179.3488,5.104597546733851e-05
179.8309,5.1020810080240385e-05
180.313,5.472802556381279e-05
180.7951,6.646459964300469e-05
181.2772,7.170835838621564e-05
181.7593,6.749817457823317e-05
182.2415,5.9746701981571925e-05
182.7236,5.198174965925888e-05
183.2057,4.518987351787312e-05
183.6878,3.9703727002861e-05
184.1699,3.578092803648136e-05
184.652,3.3918965774084365e-05
185.1342,3.213765397095578e-05
185.6163,3.044438223209321e-05
186.0984,2.8834127177721386e-05
186.5805,2.7216618285372917e-05
187.0626,2.555116908816141e-05
187.5447,2.5122484719501486e-05
188.0269,2.7158611825670632e-05
188.509,3.195490186310833e-05
188.9911,3.583775138357248e-05
189.4732,3.550229047008567e-05
189.9553,3.132527260579322e-05
190.4374,2.7868741228766677e-05
190.9196,2.6243241477470672e-05
191.4017,2.627920034273458e-05
191.8838,2.762694986209327e-05
192.3659,3.0361961952730226e-05
192.848,3.3146984795299755e-05
193.3301,3.5669502102856146e-05
193.8123,3.773152676827213e-05
194.2944,3.883482291758229e-05
194.7765,3.8777408014185594e-05
195.2586,3.76717456396531e-05
195.7407,3.578876858194141e-05
196.2228,3.3118129454525005e-05
196.705,3.0006674205362068e-05
197.1871,2.6559467113381708e-05
197.6692,2.279840061071264e-05
198.1513,1.909253309970543e-05
198.6334,1.5066890614953693e-05
199.1155,1.1584466527502491e-05
199.5977,9.36825416568319e-06
200.0798,8.414854505149784e-06
200.5619,7.929055860068124e-06
201.044,6.830642474690102e-06
201.5261,4.805464008996398e-06
202.0082,4.284448368443896e-06
202.4904,7.641394635601221e-06
202.9725,1.1210088967223868e-05
203.4546,1.2982672890434026e-05
203.9367,1.2888266322649739e-05
204.4188,1.2094237749426755e-05
204.9009,1.2175324602691092e-05
205.3831,1.389626856971724e-05
205.8652,1.4254809876766102e-05
206.3473,1.2259228621640209e-05
206.8294,9.66878901302977e-06
207.3115,7.289510761401247e-06
207.7936,5.3436493288773095e-06
208.2758,3.7181495775813045e-06
208.7579,2.088067689328127e-06
209.24,5.756182270865977e-07
209.7221,7.068709945931649e-07
210.2042,4.890255362403887e-06
210.6863,1.0359978916702832e-05
211.1685,1.0676049390304207e-05
211.6506,5.334029265678335e-06
212.1327,1.328659706448226e-06
212.6148,2.9750239395714415e-06
213.0969,3.562778768566825e-06
213.579,8.813199793448836e-06
214.0612,1.4977071032948753e-05
214.5433,1.873650833136638e-05
215.0254,1.8264616108288075e-05
215.5075,1.5096929068339601e-05
215.9896,1.1669107567422495e-05
216.4717,1.1366497424184204e-05
216.9539,1.544067661892673e-05
217.436,1.9817165329932585e-05
217.9181,2.312409114751299e-05
218.4002,2.7211735521440775e-05
218.8823,3.3980822198595106e-05
219.3644,4.370140148129636e-05
219.8466,5.3534439496746524e-05
220.3287,5.5482356829873465e-05
220.8108,4.957566711863645e-05
221.2929,4.544572162003736e-05
221.775,4.506646614464877e-05
222.2571,4.683594197284354e-05
222.7393,4.764743115472554e-05
223.2214,4.686168921860289e-05
223.7035,4.691362495293969e-05
224.1856,5.019364950508264e-05
224.6677,5.661082321510393e-05
225.1498,6.243435562600707e-05
225.632,6.586780660947157e-05
226.1141,6.767103508883975e-05
226.5962,6.979637082541955e-05
227.0783,7.288075510036884e-05
227.5604,7.504619059635162e-05
228.0425,7.286208713498776e-05
228.5247,6.752203078334353e-05
229.0068,6.468386969853734e-05
229.4889,6.904111828314525e-05
229.971,7.722112978380114e-05
230.4531,8.145512130867219e-05
230.9352,7.994369494790997e-05
231.4174,7.65188263796986e-05
231.8995,7.370156371847486e-05
232.3816,7.136976513360255e-05
232.8637,6.926144876286369e-05
233.3458,6.748590705812561e-05
233.8279,6.585641187735584e-05
234.3101,6.358721158678737e-05
234.7922,6.012301907072131e-05
235.2743,5.698995262111592e-05
235.7564,5.520582850112473e-05
236.2385,5.4333525391500017e-05
236.7206,5.35606231365018e-05
237.2028,5.310900383894512e-05
237.6849,5.244966099932995e-05
238.167,4.8764798585993086e-05
