wavelength,intensity
0,0.0
1,1.5292652226234598e-05
2,2.1976469788381412e-05
3,0.0
4,3.088223570707965e-05
5,4.613463712279291e-05
6,0.0
7,0.0
8,1.0336202679476937e-05
9,0.0
10,0.0
11,1.6483740803431495e-05
12,0.0
13,3.146896574119428e-05
14,0.0
15,0.0
16,0.0
17,0.0
18,0.00014941034918214776
19,6.727727540260328e-05
20,1.3048165769118201e-06
21,0.0
22,0.0
23,3.518906376331681e-05
24,3.9125097887044034e-05
25,6.505760082667224e-05
26,5.974201758574723e-06
27,2.9349553192681075e-05
28,3.3159727633342805e-05
29,2.6585499244894805e-05
30,4.0386679750478374e-05
31,3.518812097396878e-05
32,5.998537674878501e-05
33,0.0
34,4.362363942313844e-05
35,0.0
36,0.0
37,5.982434362478932e-05
38,0.0
39,3.456097595887882e-05
40,0.0
41,0.0
42,9.694959140444211e-05
43,0.0
44,0.0
45,4.324865989393857e-05
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,1.6449518738138538e-06
52,1.5511820775093736e-06
53,8.751836326413587e-05
54,0.0
55,9.81556441610637e-05
56,0.00011596138518570044
57,0.0
58,0.0
59,0.0
60,3.2398209129470975e-06
61,0.0
62,5.5227795098218274e-05
63,0.0
64,4.001069657369921e-05
65,2.506651401221028e-05
66,9.594619608639402e-05
67,3.449131019405372e-05
68,0.0
69,0.0
70,0.0
71,3.9308352783396344e-05
72,9.281085861292485e-05
73,3.6443173161882575e-05
74,5.748858689169064e-06
75,1.8698771916050075e-05
76,3.03893167092653e-05
77,4.681591004200447e-05
78,8.725483885465502e-05
79,0.0
80,0.0
81,0.0
82,5.645227862902539e-05
83,4.433729757675123e-06
84,3.0942459557830886e-05
85,0.0
86,0.0
87,0.0
88,0.0
89,0.0
90,0.0
91,3.5411302170437066e-05
92,4.960980234919941e-05
93,1.8523668005306203e-05
94,0.0
95,7.68729209234237e-05
96,0.0
97,8.893571500115525e-05
98,0.0
99,0.0
100,2.329476318468348e-05
101,8.852132794737493e-06
102,7.356672166318191e-05
103,6.921492003357689e-05
104,2.9674957598361023e-05
105,5.072553744682925e-05
106,0.0
107,1.5419054270198198e-05
108,0.0
109,0.0
110,0.0
111,0.0
112,6.518945274199594e-05
113,4.5226576919041155e-05
114,0.0
115,0.0
116,4.536348099931121e-06
117,0.0
118,6.272844668442832e-05
119,9.24643632486239e-05
120,1.701059239939552e-05
121,8.836957256807093e-05
122,0.0
123,0.00016109439710942954
124,5.741707191289455e-05
125,0.00018341858186595445
126,0.0
127,0.0
128,5.18073665771658e-05
129,5.636157080291202e-05
130,5.752810827113408e-05
131,4.7790151545540394e-05
132,9.223479607102073e-06
133,5.068984655158752e-05
134,0.0
135,5.6166976939325746e-05
136,0.0
137,1.6915028636951014e-06
138,3.190492571516766e-05
139,1.2969197407683435e-05
140,0.0
141,0.00010857497815276566
142,1.6024010699325185e-05
143,0.0
144,6.888259476641183e-05
145,2.4406488497200847e-05
146,3.2387250238858545e-05
147,1.2435921900111806e-05
148,9.467245968399041e-06
149,1.60743662460684e-05
150,2.7197696976897697e-06
151,0.0
152,1.243654667057341e-05
153,0.0
154,0.00010183144005776217
155,0.0
156,0.0
157,9.252456608215587e-05
158,9.592577227037962e-05
159,0.0
160,6.23817455771415e-05
161,0.00013189213400328136
162,0.0
163,1.8795797362115068e-05
164,0.00013131145670685295
165,0.0
166,0.0
167,6.150333307360004e-06
168,3.3059484985763155e-05
169,0.0
170,2.4290901447711893e-05
171,0.0
172,0.0
173,0.0
174,0.0
175,0.0
176,0.00010177319155434186
177,0.0
178,2.6414496448172554e-05
179,8.551901196120989e-05
180,0.0
181,0.0
182,3.0072424296962578e-05
183,0.0
184,0.0
185,0.0
186,0.0
187,0.0
188,0.0
189,2.808121799178829e-05
190,0.0
191,0.0
192,9.777988895659629e-06
193,0.0
194,2.4704582417539783e-05
195,0.0
196,0.0001829637927821087
197,3.6566865640544544e-05
198,0.0
199,0.0
200,0.0
201,0.0
202,0.0
203,0.00010235713290164165
204,0.0001009921841408901
205,0.0
206,0.0
207,5.902111057713184e-05
208,0.0
209,7.065449740930053e-05
210,0.0
211,1.4518169179481392e-05
212,4.540764977343091e-05
213,9.729767738718474e-05
214,0.00010462675680822557
215,1.7652822094308498e-05
216,0.0
217,0.0
218,0.0
219,2.1051748199896047e-05
220,0.0
221,4.786750921667804e-05
222,0.0
223,0.0
224,0.0
225,0.0
226,1.3144729065755068e-05
227,0.0
228,4.833610932545781e-06
229,0.0
230,3.0106080809045356e-06
231,5.780893663571452e-07
232,3.94001355922071e-05
233,2.3919955640471706e-05
234,4.97015783065464e-05
235,8.429656015305627e-05
236,9.933149776653088e-05
237,2.0264602943641523e-06
238,6.058351039140336e-05
239,0.00014753485925890033
240,0.0
241,0.0
242,2.4734096073402744e-06
243,9.255169630472452e-05
244,1.437854496330949e-05
245,2.8299692408042084e-05
246,3.54620215525257e-05
247,0.000167375655618725
248,5.325456917243034e-05
249,1.0479736287016097e-05
250,3.125150112096448e-05
251,6.363906388142765e-06
252,0.0
253,0.0
254,3.679836006124312e-05
255,0.0
256,4.032402879562012e-05
257,0.0
258,2.54402565484221e-05
259,6.886965037114518e-05
260,5.939867847144866e-05
261,0.0
262,0.0
263,0.00010917491463961412
264,1.9754587722845584e-05
265,3.235790048351775e-05
266,0.0
267,0.00010522157895542363
268,0.0
269,5.0202532166482205e-05
270,7.681647146414426e-05
271,0.0
272,0.0001794791206583723
273,0.0
274,9.543094760506275e-05
275,0.0
276,8.04852025055207e-05
277,0.0
278,3.621941406759472e-05
279,0.0
280,0.00010537046787506912
281,7.910515138743562e-05
282,0.0
283,0.0
284,3.5927270896360374e-05
285,0.0
286,5.4840399959383094e-05
287,2.3003513030532678e-05
288,0.0
289,0.0
290,0.0
291,6.357811229730925e-05
292,0.0
293,0.00011041840682692542
294,0.0
295,6.26649367924207e-05
296,9.064081376048285e-05
297,0.0
298,0.0
299,0.0
300,8.903040386233138e-06
301,0.0
302,3.274276576791176e-05
303,1.6273066114008306e-05
304,6.03854091706695e-06
305,0.0
306,0.0
307,0.0
308,2.6135491601998726e-05
309,0.0
310,0.0
311,9.847836231390413e-05
312,4.2552671364426795e-05
313,0.0
314,0.0
315,0.0
316,7.678180568698387e-05
317,0.0
318,0.0
319,0.0
320,7.364353349032565e-06
321,4.965083509490511e-05
322,7.827498723173654e-05
323,0.0
324,0.0
325,0.0
326,4.846302122320969e-05
327,0.0
328,1.3804534960699464e-05
329,0.0
330,5.053930944645017e-05
331,0.0
332,0.00011071731772414118
333,2.7948516015378716e-05
334,0.0
335,0.0
336,4.846626754437276e-05
337,0.0
338,0.0
339,0.0
340,0.0
341,2.065829218126584e-05
342,0.0
343,7.364797187567218e-05
344,0.00013752070355012153
345,0.0
346,0.0
347,0.0
348,0.0
349,4.507788256666016e-06
350,3.4800163371140535e-05
351,0.0
352,0.0
353,0.0
354,0.0
355,8.75189804440692e-05
356,1.9123745224865605e-05
357,0.0
358,3.503478031468266e-05
359,0.0
360,0.0
361,5.642153592014936e-06
362,5.1380668121027876e-05
363,0.0
364,0.0
365,0.0
366,0.00011573290279770176
367,0.0
368,0.00019204698996670372
369,0.0
370,4.7867979256936974e-05
371,8.493393739335717e-06
372,1.0888319836181362e-05
373,5.48706497466734e-05
374,0.0
375,0.0
376,9.901959669258718e-05
377,9.085077469458214e-05
378,0.00011631826157359219
379,0.0
380,4.814783374841893e-05
381,0.0
382,3.28216529056979e-05
383,3.390299967378137e-05
384,0.0
385,0.0
386,5.188212603974691e-06
387,0.0
388,7.181739474933213e-05
389,0.0
390,0.0
391,0.00010393663254306173
392,0.0
393,5.9262295914222694e-05
394,0.0
395,5.0317334282060155e-05
396,0.0
397,1.6623732468512052e-05
398,0.0
399,9.095449477668877e-06
400,4.918175022729263e-05
401,0.0
402,0.00010592716355268096
403,0.0
404,0.0
405,0.00011283881890444596
406,0.0
407,4.811211854285947e-06
408,0.0
409,0.0
410,0.0
411,6.884645611595547e-05
412,0.0
413,2.9745728385816896e-05
414,0.00011026734310731084
415,5.310867016414826e-05
416,2.363303279569542e-06
417,0.0
418,5.702861050779039e-05
419,0.00018016869915089319
420,0.0
421,0.0
422,0.0
423,0.0
424,0.00013664171410860277
425,4.333851107203185e-05
426,0.0
427,0.0
428,0.0
429,1.4837756028047123e-05
430,0.0
431,8.20123869499244e-05
432,5.199239633342254e-05
433,0.0
434,0.0
435,0.0
436,0.0
437,0.0
438,6.363642415584796e-05
439,0.0
440,2.1618084470980776e-05
441,0.0
442,4.780271479923219e-05
443,0.00011013807803326944
444,0.0
445,0.0
446,8.21271209986652e-05
447,0.0
448,2.635020909525284e-05
449,0.0
450,8.299539051776462e-05
451,0.0
452,6.183049379975002e-06
453,0.0
454,0.0
455,2.6569221660102673e-05
456,9.518632549193444e-05
457,5.0075658958483534e-05
458,3.556461393749813e-05
459,2.2464788829756514e-06
460,0.0
461,4.097491864248552e-05
462,0.0
463,0.0
464,0.00011021390226297309
465,0.00011922508528896947
466,0.0
467,1.806795649020329e-05
468,5.210368688222192e-05
469,0.0
470,0.0
471,0.0
472,3.0715113658136125e-05
473,4.792675230198296e-05
474,0.0
475,5.998147067355151e-06
476,0.0
477,0.00010772436957401287
478,5.2179230421094344e-05
479,0.0
480,4.3236544490714036e-05
481,0.0
482,0.0
483,1.1930142858799106e-08
484,0.0
485,0.0
486,0.0
487,5.8527150541183466e-05
