wavelength,intensity
206.0,0.0
207.0,5.340007863422456e-05
208.0,0.00014998376757594062
209.0,0.00028159049910142167
210.0,0.000418642457931564
211.0,0.0004367334134735863
212.0,0.00045570200582962795
213.0,0.00046973934603176
214.0,0.0004777302049792949
215.0,0.00047283774340280057
216.0,0.00043583153254868253
217.0,0.0003976179649725158
218.0,0.0003333322805511457
219.0,0.00030902028615615776
220.0,0.00029210274558094575
221.0,0.00032735368280702523
222.0,0.0003412116165886119
223.0,0.0003146206757704799
224.0,0.00028838369897126175
225.0,0.0002330683355771608
226.0,0.00016860324473524528
227.0,0.0001271700592336155
228.0,0.00012233578352324395
229.0,0.0001166335686432069
230.0,4.237870582612573e-05
231.0,3.1842215235717125e-05
232.0,4.020158466869662e-05
233.0,1.2185090130555372e-05
234.0,4.5045558023421975e-06
235.0,8.563019964409387e-06
236.0,2.1567561042861243e-05
237.0,1.0085550127956695e-06
238.0,2.310948649511616e-05
239.0,5.678455651370234e-05
240.0,9.8818995965268e-05
241.0,0.00014106678359261738
242.0,0.0001835861052618733
243.0,0.00022625574041861313
244.0,0.00027048184749413866
245.0,0.0003149697909672168
246.0,0.00035375067073808113
247.0,0.0003855492465742061
248.0,0.00041900127077265474
249.0,0.00047094185393163173
250.0,0.0005227175771365941
251.0,0.000577334710137221
252.0,0.0006328876658179902
253.0,0.0006996898889491726
254.0,0.0007857225408339494
255.0,0.0008718958085618564
256.0,0.0009802427401047374
257.0,0.0010883666258274807
258.0,0.0011962820121966173
259.0,0.0013039792015677935
260.0,0.0014257816146515782
261.0,0.0015805802626491826
262.0,0.00173529648066978
263.0,0.001882375803761756
264.0,0.002029867276738769
265.0,0.0022529276433428036
266.0,0.0025273030950449947
267.0,0.0028181645421486534
268.0,0.0031588185441869215
269.0,0.0034999719749094103
270.0,0.004029754285957751
271.0,0.004587674312098656
272.0,0.005336773699030462
273.0,0.0062466115411265784
274.0,0.007243568171275099
275.0,0.008640310189909208
276.0,0.010040873080418719
277.0,0.012179838856137788
278.0,0.01444854456684423
279.0,0.016771794678218648
280.0,0.019147203569750002
281.0,0.02119898752272837
282.0,0.02155750943448852
283.0,0.021915706475162822
284.0,0.02010687760618032
285.0,0.017806014506796662
286.0,0.015317802616141853
287.0,0.012622575111466378
288.0,0.010055511674570786
289.0,0.008319643032884131
290.0,0.00658439504043612
291.0,0.005490432873816496
292.0,0.00456334292241496
293.0,0.003800225590569729
294.0,0.0032325788271419585
295.0,0.0026944274490162848
296.0,0.002372790527555827
297.0,0.002050285666925704
298.0,0.0018320450295655107
299.0,0.0016423300130720328
300.0,0.0014637042528971307
301.0,0.0012986261018844932
302.0,0.0011398320244131214
303.0,0.001027581791017834
304.0,0.0009136975045489307
305.0,0.0008271460286912254
306.0,0.0007477465655444509
307.0,0.0006729583322879106
308.0,0.0006033728852271862
309.0,0.0005376131588640377
310.0,0.0005027889179895258
311.0,0.0004679113400710678
312.0,0.00043103604741572617
313.0,0.0003932734203020114
314.0,0.0003610820898695573
315.0,0.0003313442634586157
316.0,0.0003041520686905479
317.0,0.0002914045151874719
318.0,0.0002784339158642583
319.0,0.00025508683708247394
320.0,0.00022939777718924582
321.0,0.00020275349932716787
322.0,0.000174916411209572
323.0,0.0001493049324711743
324.0,0.00013565549804319446
325.0,0.00012191878481603035
326.0,0.00010454545495618957
327.0,8.624115123838355e-05
328.0,8.212450121019354e-05
329.0,9.072631175201813e-05
330.0,9.407199905408069e-05
331.0,7.744538780948285e-05
332.0,6.07799859874698e-05
333.0,2.915111892753637e-05
334.0,4.3930328922734455e-06
335.0,2.0078972634552248e-05
336.0,2.2406407279465333e-05
337.0,2.9112328350121152e-05
338.0,4.834760592589241e-05
339.0,7.014306161106805e-05
340.0,4.724207446955869e-05
341.0,1.9661973927338652e-05
342.0,3.1371879484557606e-06
343.0,5.673121946975641e-06
344.0,6.182248275550378e-06
345.0,7.762964305220514e-06
346.0,2.146088695496939e-05
347.0,1.8415826627874775e-05
348.0,1.544349863343369e-05
349.0,1.2577844726884455e-05
350.0,9.809167263873268e-06
351.0,8.766670495839282e-06
352.0,1.0381328280747734e-05
353.0,1.000796897312626e-05
354.0,1.3431237430019253e-05
355.0,3.6788013856157426e-05
356.0,3.559035477846257e-05
357.0,2.725522945636759e-05
358.0,2.4772632501793632e-05
359.0,2.8889282529983652e-05
360.0,2.9393560036381485e-05
361.0,1.2311159507154832e-05
362.0,4.829426888194648e-06
363.0,2.7114613613237422e-05
364.0,6.667130493240604e-05
365.0,7.644653044104099e-05
366.0,6.316560649850571e-05
367.0,5.650817364961891e-05
368.0,6.840233444956014e-05
369.0,8.022861173902474e-05
370.0,7.160255708631563e-05
371.0,6.218129559659454e-05
372.0,4.5622567862473344e-05
373.0,2.5485409361798265e-05
374.0,2.7269775922898293e-05
375.0,6.611369038206228e-05
376.0,0.00010023000321874657
377.0,7.763934069655894e-05
378.0,5.495170173083328e-05
379.0,4.201989298503496e-05
380.0,3.170159939258696e-05
381.0,2.2265791436335164e-05
382.0,1.3804596737640726e-05
383.0,8.184811834611011e-06
384.0,1.4308874244038563e-05
385.0,2.0335960209928067e-05
386.0,4.1641684855236584e-05
387.0,6.44166026201465e-05
388.0,6.222008617400977e-05
389.0,4.457522227226245e-05
390.0,3.523639075954871e-05
391.0,4.2858739221639056e-05
392.0,4.975861317937097e-05
393.0,4.239810111483334e-05
394.0,3.497940318417289e-05
395.0,3.553216891233974e-05
396.0,3.859177570596507e-05
397.0,2.952447823515785e-05
398.0,6.948362179500935e-06
399.0,5.595540792145205e-06
400.0,2.4816271901385756e-05
401.0,5.525717752797813e-05
402.0,5.871923656228633e-05
403.0,5.935928108963744e-05
404.0,7.588406706852033e-05
405.0,0.0001018107192484167
406.0,0.0001157898735844259
407.0,0.00010750323648409995
408.0,0.00010167980104964033
409.0,0.00012946355212329027
410.0,0.00015723760555258639
411.0,0.00017318538169241792
412.0,0.00018594748166202466
413.0,0.00018651964267889912
414.0,0.0001757261645131147
415.0,0.00017063975004954425
416.0,0.00018335821061955885
417.0,0.0001960621247230428
418.0,0.00021697024594984532
419.0,0.00023805292477501632
420.0,0.00025309397116776716
421.0,0.0002655118047628138
422.0,0.00025803007214385363
423.0,0.00022350645824430955
424.0,0.00020052304112579285
425.0,0.0002407731140162585
426.0,0.0002807952922644097
427.0,0.0002525993913057231
428.0,0.00021531194876534476
429.0,0.00021604412091405696
430.0,0.00024046763821911367
431.0,0.0002580785603656227
432.0,0.0002630292078082399
433.0,0.00027039941751713127
434.0,0.00030508789137069004
435.0,0.0003396599934920031
436.0,0.00036010262778982306
437.0,0.0003774420158944255
438.0,0.00036375379088903045
439.0,0.0003251717128274192
440.0,0.0002996281175994981
441.0,0.00030527699543558926
442.0,0.0003090154373339809
443.0,0.0003033326177426514
444.0,0.0002974316011533614
445.0,0.00030434117275544707
446.0,0.0003138060736447603
447.0,0.0003284446677968282
448.0,0.00035092865623112394
449.0,0.00036584363324727534
450.0,0.00035465740048516183
451.0,0.00034399968934033064
452.0,0.0003569751374857211
453.0,0.0003690147629509694
454.0,0.0003623961206794978
455.0,0.00035001222883968946
456.0,0.00034313175017066516
457.0,0.0003418613587603168
458.0,0.0003402660962641159
459.0,0.00033712890831566017
460.0,0.00033388504627931254
461.0,0.00032629179075028365
462.0,0.0003199155895876571
463.0,0.0003075753371474409
464.0,0.00029293189417319606
465.0,0.0002950944688640945
466.0,0.00031477098925796387
467.0,0.0003276543097819931
468.0,0.00031921735919418324
469.0,0.00031029552638868306
470.0,0.0002916808980515553
471.0,0.00027422998703688405
472.0,0.0002783563347094279
473.0,0.00028961529980419494
474.0,0.0002897753109360327
475.0,0.00027919033212385507
476.0,0.0002754664366919941
477.0,0.0002908178077040667
478.0,0.00030534972776824276
479.0,0.00028592049730539543
480.0,0.0002662827674889413
481.0,0.00026158910762169986
482.0,0.0002611090742261866
483.0,0.00027273170098422126
484.0,0.00029440593611497435
485.0,0.0003067073979777754
486.0,0.0002976934375509141
487.0,0.00028860674479139924
488.0,0.0002813383603482228
489.0,0.00027396815063933133
490.0,0.00028271057702428614
491.0,0.00029459504017987357
492.0,0.0002819978001642815
493.0,0.00025286122770327583
494.0,0.00023894510805556635
495.0,0.000251513255138097
496.0,0.0002599356592593762
497.0,0.0002416313555415702
498.0,0.00022328341242417205
499.0,0.00022259003085287502
500.0,0.00022396709635111526
501.0,0.00021801274271787932
502.0,0.00020835873776366688
503.0,0.0001986562445876855
504.0,0.00018894405376735027
505.0,0.00017821845911204247
506.0,0.00016382715489099656
507.0,0.00014889763140831452
508.0,0.00012835802066695656
