wavelength,intensity
0,0.0
1,8.860186260599326e-06
2,0.0
3,0.0
4,2.8565073818398607e-05
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,7.955771292489543e-07
12,0.0
13,2.6510257644643764e-05
14,0.0
15,2.5583664460590664e-05
16,6.552998476932387e-06
17,5.8919729651324215e-06
18,4.714219520936048e-06
19,2.476543375755875e-05
20,4.854278875155261e-06
21,2.092041711662416e-05
22,1.077229580881193e-05
23,0.0
24,3.198537074730002e-05
25,7.839267479905774e-06
26,1.4256770228096496e-05
27,0.0
28,0.0
29,1.0536437759801516e-05
30,0.0
31,0.0
32,4.623485206258082e-06
33,8.74181868023617e-06
34,1.7579459139076264e-06
35,0.0
36,0.0
37,6.243114467075679e-06
38,0.0
39,1.511066453217583e-05
40,1.563929519899901e-05
41,0.0
42,5.8590203357668554e-05
43,2.632227546775744e-05
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,2.5497997791345194e-05
51,1.9580542554756163e-05
52,2.288106069284605e-06
53,1.369397720713537e-06
54,2.0083455611000544e-05
55,5.155568676563569e-06
56,1.7957488035853576e-05
57,5.598868939586695e-06
58,0.0
59,0.0
60,1.6949303808108047e-06
61,0.0
62,2.1601415542399598e-05
63,1.6049127207529166e-05
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,2.4710363787998072e-06
72,7.467447086442115e-06
73,0.0
74,1.0293909921036218e-05
75,0.0
76,0.0
77,1.5065352078615285e-05
78,2.6617425049179284e-05
79,0.0
80,0.0
81,4.850229809818378e-07
82,0.0
83,0.0
84,0.0
85,3.0036324250774283e-06
86,3.537494508208263e-05
87,0.0
88,1.3390191761878873e-05
89,0.0
90,0.0
91,9.003267056239829e-07
92,0.0
93,0.0
94,0.0
95,1.3456646623284258e-05
96,0.0
97,0.0
98,0.0
99,6.360123800965016e-06
100,0.0
101,0.0
102,2.787244358525964e-05
103,0.0
104,1.2974530237942185e-05
105,7.207574459732186e-06
106,3.333907940860722e-05
107,0.0
108,0.0
109,0.0
110,0.0
111,5.871454046823687e-06
112,3.2263414020714684e-05
113,0.0
114,0.0
115,5.694349341197538e-07
116,1.875558366096064e-05
117,1.4988034870665222e-05
118,5.862672682785611e-06
119,0.0
120,3.143573821250705e-05
121,0.0
122,1.4805691128637559e-05
123,0.0
124,0.0
125,5.865323404134029e-06
126,4.531121802981783e-06
127,1.4893511484896517e-05
128,0.0
129,0.0
130,5.184850518322282e-05
131,0.0
132,0.0
133,0.0
134,0.0
135,3.12942575467451e-05
136,1.994678813707072e-05
137,2.130362199497318e-05
138,2.1833165729878923e-06
139,0.0
140,0.0
141,1.143240518784644e-06
142,1.679838858962354e-06
143,9.009685404174602e-06
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,2.3063773486737184e-05
150,8.108342501413586e-06
151,0.0
152,0.0
153,0.0
154,2.346533542823038e-06
155,1.6456034718581772e-05
156,2.939565566683804e-05
157,0.0
158,2.232046730038895e-05
159,0.0
160,0.0
161,0.0
162,0.0
163,0.0
164,0.0
165,0.0
166,0.0
167,1.7390842556762066e-05
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,4.1526488233455206e-05
174,2.236828275782977e-06
175,1.17184735175223e-05
176,8.67775900432008e-06
177,0.0
178,0.0
179,4.9148947903680935e-06
180,0.0
181,0.0
182,0.0
183,3.989760262582814e-06
184,1.950042510966555e-05
185,0.0
186,0.0
187,7.639990232492139e-06
188,0.0
189,0.0
190,1.3689295453570211e-05
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,8.609148060716741e-06
197,0.0
198,0.0
199,0.0
200,0.0
201,0.0
202,0.0
203,1.7100020420721407e-06
204,0.0
205,2.33804398354362e-06
206,1.1152484430291568e-05
207,1.9868907112441135e-05
208,0.0
209,0.0
210,1.2024436329319937e-05
211,0.0
212,0.0
213,1.431958679891445e-06
214,3.949824094367762e-05
215,0.0
216,1.003148072383221e-05
217,1.5032326817557147e-05
218,0.0
219,0.0
220,2.472059625691531e-05
221,0.0
222,0.0
223,0.0
224,2.483450843897004e-05
225,0.0
226,1.2644115450363285e-05
227,1.3446645015626229e-05
228,3.318861666106252e-05
229,3.6238846011093317e-06
230,0.0
231,1.6243969346345915e-05
232,1.684137992134386e-06
233,0.0
234,0.0
235,1.2598449787500816e-05
236,0.0
237,3.2973030070535543e-06
238,0.0
239,0.0
240,2.287959632613581e-05
241,0.0
242,0.0
243,0.0
244,0.0
245,4.480545591012212e-06
246,1.233017531241137e-05
247,1.0231466695316763e-05
248,0.0
249,0.0
250,0.0
251,0.0
252,0.0
253,0.0
254,8.153525657561625e-06
255,0.0
256,0.0
257,0.0
258,0.0
259,5.707966644674255e-06
260,0.0
261,9.88319043269554e-06
262,0.0
263,1.1733743093764247e-05
264,0.0
265,2.387684966276944e-05
266,4.64609373762557e-06
267,3.325524803169465e-05
268,5.26331345300757e-07
269,1.6672748292142695e-05
270,0.0
271,1.4048963278696587e-05
272,7.570610632300717e-06
273,1.4663794027024463e-05
274,9.728786888768555e-07
275,5.136321190132151e-05
276,0.0
277,0.0
278,3.837282300418974e-05
279,0.0
280,0.0
281,2.8672608215026926e-05
282,0.0
283,2.5990326278752206e-05
284,1.4176876530127013e-05
285,0.0
286,4.906138164950234e-06
287,5.852138365963277e-06
288,0.0
289,1.8140261410190192e-05
290,1.083799092919761e-05
291,0.0
292,0.0
293,1.693922434207616e-05
294,0.0
295,0.0
296,3.232579033033246e-05
297,0.0
298,0.0
299,0.0
300,0.0
301,2.7405182623478673e-05
302,0.0
303,0.0
304,0.0
305,8.979500165563387e-06
306,0.0
307,0.0
308,0.0
309,1.4994583835656255e-05
310,0.0
311,1.4493974553829763e-05
312,0.0
313,0.0
314,7.439517841151768e-05
315,0.0
316,2.2124722558283554e-05
317,0.0
318,0.0
319,2.6019429825061725e-05
320,1.0429555938355602e-05
321,3.2694042410111605e-05
322,0.0
323,0.0
324,6.545125792451601e-06
325,2.293317498384849e-05
326,9.146935649160224e-06
327,0.0
328,0.0
329,0.0
330,5.908823989085574e-06
331,0.0
332,3.1019961384147125e-05
333,0.0
334,0.0
335,1.6264403482489877e-05
336,0.0
337,0.0
338,0.0
339,9.50918553707162e-06
340,0.0
341,0.0
342,0.0
343,0.0
344,0.0
345,0.0
346,0.0
347,0.0
348,1.0663918397313842e-05
349,2.09083647121156e-05
350,1.3636365958720887e-05
351,0.0
352,0.0
353,0.0
354,0.0
355,0.0
356,0.0
357,1.6291920871154196e-05
358,4.227040924999254e-06
359,6.782516197698122e-06
360,0.0
361,6.412843682004221e-06
362,0.0
363,1.5253131616591286e-05
364,0.0
365,2.070795888570127e-05
366,0.0
367,0.0
368,7.959776376610083e-06
369,0.0
370,0.0
371,0.0
372,1.0346404436620526e-05
373,1.5426027119380596e-06
374,6.684806813427891e-06
375,0.0
376,0.0
377,3.840980108434693e-05
378,1.0780412403680264e-05
379,0.0
380,0.0
381,1.9586975701657125e-06
382,0.0
383,0.0
384,4.880359495243736e-05
385,0.0
386,0.0
387,1.5007211667589383e-05
388,0.0
389,2.8228632914040586e-05
390,1.4243773586244578e-05
391,0.0
392,9.341768139430671e-06
393,1.8762749037069638e-05
394,1.3178635801483722e-05
395,0.0
396,3.352203290527705e-05
397,0.0
398,0.0
399,0.0
400,0.0
401,4.4011400505910116e-05
402,3.3603942240370084e-06
403,0.0
404,0.0
405,0.0
406,0.0
407,2.341794641834028e-05
408,0.0
409,0.0
410,3.845256950719139e-06
411,0.0
412,0.0
413,0.0
414,0.0
415,1.0509827096318332e-05
416,0.0
417,1.1735274476483217e-05
418,0.0
419,0.0
420,1.7118321882078e-05
421,6.0027067203845106e-06
422,9.21675707290883e-06
423,0.0
424,0.0
425,0.0
426,0.0
427,0.0
428,2.2076892471983282e-05
429,2.905774871671416e-06
430,0.0
431,1.4290940267836414e-05
432,2.0743460121685505e-05
433,1.2746586354024436e-05
434,2.0514329448819866e-06
435,1.0358200520795645e-05
436,0.0
437,0.0
438,0.0
439,0.0
440,1.6229526930137832e-05
441,5.63887042085159e-06
442,0.0
443,0.0
444,0.0
445,0.0
446,8.54263801358513e-06
447,0.0
448,0.0
449,1.472767228527215e-05
450,2.7615808663698727e-05
451,0.0
452,0.0
453,0.0
454,2.451155974919932e-06
455,3.0334364851091208e-05
456,0.0
457,2.4717388793609373e-06
458,0.0
459,1.4003920823036974e-05
460,2.1067181004696674e-05
461,1.4766383204661615e-05
462,0.0
463,0.0
464,1.8336179566329195e-05
465,1.2276113906390602e-05
466,0.0
467,5.0397045470036555e-05
468,3.766708016211931e-05
469,0.0
470,4.6757381546681476e-05
471,2.9681055199564923e-06
472,0.0
473,2.407735497149161e-05
474,0.0
475,0.0
476,1.1183119064888473e-05
477,0.0
478,3.665765729988413e-05
479,0.0
480,0.0
481,0.0
482,1.068685953562506e-05
483,0.0
484,0.0
485,0.0
486,0.0
487,3.208901568808638e-05
488,0.0
489,0.0
490,3.431166802684228e-05
491,0.0
492,0.0
493,0.0
494,0.0
495,1.760280729961654e-05
496,1.407308140812413e-06
497,0.0
498,0.0
499,0.0
500,2.3523296966243613e-05
501,2.3974508925765633e-05
502,0.0
503,1.6120220336525895e-05
504,0.0
505,0.0
506,2.2193103008170487e-05
507,0.0
508,0.0
509,0.0
510,2.6416098790822808e-05
511,1.3380321309624722e-05
512,0.0
513,0.0
514,0.0
515,0.0
516,0.0
517,0.0
518,1.0724477444777157e-05
519,1.6895041176561093e-05
520,0.0
521,0.0
522,2.0987456079585672e-05
523,1.899565243261967e-05
524,0.0
525,1.8241688573234923e-05
526,0.0
527,6.105239874688733e-06
528,0.0
529,2.7796086020798198e-05
530,2.9727077777836897e-05
531,0.0
532,0.0
533,7.818006023962426e-07
534,2.9843833434369484e-05
535,0.0
536,3.726653250699162e-05
537,0.0
538,1.7952608807628517e-05
539,0.0
540,0.0
541,0.0
542,0.0
543,0.0
544,0.0
545,5.877289861819738e-06
546,0.0
547,5.953407899285276e-07
548,0.0
549,3.441898290221365e-06
550,9.849888749579253e-06
551,0.0
552,0.0
553,1.870373542070263e-05
554,1.4404777857828149e-05
555,9.907060610403253e-06
556,2.3344813852451277e-05
557,1.910365056883761e-05
558,2.6236215420222873e-05
559,0.0
560,0.0
561,1.8404437703011953e-05
562,0.0
563,0.0
564,1.694674175528375e-05
565,1.4814722439549167e-05
566,0.0
567,0.0
568,0.0
569,1.07901965542089e-05
570,2.407530639872276e-06
571,0.0
572,0.0
573,0.0
574,0.0
575,2.2552387144676208e-05
576,8.557750835268106e-06
577,2.319117765074216e-05
578,0.0
579,2.5579761081090085e-06
580,4.320899353725818e-05
581,0.0
582,0.0
583,5.465597161233854e-05
584,4.685440955318959e-06
585,0.0
586,0.0
587,0.0
588,3.952785041849732e-06
589,3.344140723673868e-05
590,3.10719300921702e-05
591,8.472719896273954e-06
592,0.0
593,0.0
594,0.0
595,3.76663462731894e-05
596,6.518585393237573e-07
597,3.28236128067415e-06
598,3.52131191774307e-05
599,3.890892267030159e-06
600,0.0
601,4.569439004131956e-07
602,1.4416765762897895e-05
603,1.4647233186688778e-05
604,2.4435245405245405e-06
605,0.0
606,0.0
607,2.9724519045503645e-05
608,4.344418501208034e-05
609,0.0
610,4.693670296894498e-06
611,2.1662367102369123e-05
612,0.0
613,0.0
614,2.3832171325180418e-06
615,0.0
616,3.2443340517069844e-05
617,0.0
618,5.8291109277370095e-06
619,2.590001132249074e-05
620,0.0
621,2.859891791984398e-05
622,0.0
623,1.2036251259624341e-05
624,0.0
625,2.3864435620517147e-05
626,3.009795774049194e-06
627,1.0260975365549574e-05
628,4.3919306360474355e-06
629,0.0
630,0.0
631,1.1750366471664956e-05
632,0.0
633,1.4235682760507902e-05
634,1.3786277940965666e-05
635,6.575603184491338e-06
636,0.0
637,0.0
638,0.0
639,1.1211511365971133e-05
640,0.0
641,0.0
642,0.0
643,3.513389012462684e-05
644,8.403317805237283e-06
645,6.367053253189344e-06
646,0.0
647,0.0
648,0.0
649,0.0
650,1.2042032046716097e-05
651,3.84654490127767e-06
652,3.5154134587985805e-05
653,3.6952404835251723e-07
654,0.0
655,3.950567593177327e-05
656,4.143988024689052e-05
657,2.0471382783544785e-05
658,0.0
659,2.6881219623346797e-05
660,0.0
661,2.0758783343609237e-05
662,0.0
663,0.0
664,0.0
665,0.0
666,0.0
667,9.588108606998138e-06
668,0.0
669,1.1581803903607346e-05
670,2.3751122930292512e-05
671,0.0
