wavelength,intensity
206.0,0.0
207.0,2.861289966590022e-05
208.0,3.959548189658384e-05
209.0,1.8207327274267976e-05
210.0,1.3091819877636096e-06
211.0,3.812628877698245e-05
212.0,7.806603704812635e-05
213.0,9.368894210210541e-05
214.0,9.557028510674349e-05
215.0,0.00010047729314976859
216.0,0.00011316666078672177
217.0,0.00012591421428979782
218.0,0.00013504454644890478
219.0,0.00014363665934637558
220.0,0.00014922250249416698
221.0,0.00015233059750956133
222.0,0.0001594098778878386
223.0,0.0001898701788031386
224.0,0.0002201656197644239
225.0,0.0002439442437199526
226.0,0.00026542937478580647
227.0,0.0002905947618839292
228.0,0.0003218260255253566
229.0,0.00035298455683413054
230.0,0.0003920563659356089
231.0,0.0004310893844596721
232.0,0.0004505234637446964
233.0,0.00045975077234734134
234.0,0.0004627376468083132
235.0,0.00045154656522402274
236.0,0.0004416258750500807
237.0,0.0004115583287311098
238.0,0.0003790518248571571
239.0,0.0003419825793147393
240.0,0.0002949247600879029
241.0,0.00025182357975741875
242.0,0.00022214393921260003
243.0,0.0001918048588517226
244.0,0.00016310952920881505
245.0,0.00013478755887352895
246.0,0.00011296301025529189
247.0,9.90420417854055e-05
248.0,8.513561978204984e-05
249.0,7.123889542304796e-05
250.0,5.73518687083999e-05
251.0,4.796939779609403e-05
252.0,4.0264619356996346e-05
253.0,3.333080364402612e-05
254.0,2.7696472274465694e-05
255.0,2.2100931482320488e-05
256.0,1.8546744826651136e-05
257.0,1.5002255815335584e-05
258.0,1.146746444837384e-05
259.0,7.9472195479428e-06
260.0,5.062170352685957e-06
261.0,3.636616632676693e-06
262.0,2.2304582013750386e-06
263.0,3.069304437979129e-06
264.0,8.558171142232484e-06
265.0,1.0352235347686318e-05
266.0,9.624912021150981e-06
267.0,8.883042228084935e-06
268.0,8.126625968488183e-06
269.0,7.3508144201838225e-06
270.0,1.0250410081971371e-05
271.0,1.3581550917503224e-05
272.0,1.1288058027828454e-05
273.0,4.271812337850889e-06
274.0,7.273233265353386e-07
275.0,2.5698757537581967e-06
276.0,5.8573771896979265e-06
277.0,2.1189352913062866e-06
278.0,2.8705027287261364e-06
279.0,4.737299266833505e-06
280.0,3.5299425447848434e-06
281.0,3.3165943690011443e-06
282.0,8.330276499918078e-06
283.0,1.3348807453011915e-05
284.0,1.8372187228282655e-05
285.0,2.3400415825730294e-05
286.0,2.7454031165620582e-05
287.0,3.0421510337884764e-05
288.0,3.3670221196409274e-05
289.0,3.869844979385691e-05
290.0,4.371213192477385e-05
291.0,4.871611641133698e-05
292.0,5.370555443136941e-05
293.0,5.962596630936706e-05
294.0,6.667615375458294e-05
295.0,7.32317613377548e-05
296.0,7.613620582171925e-05
297.0,7.905034795003751e-05
298.0,8.034983229344731e-05
299.0,8.1208073818759e-05
300.0,8.114503913045927e-05
301.0,7.994738005276442e-05
302.0,7.899701090609158e-05
303.0,7.98988918309954e-05
304.0,8.081531922242993e-05
305.0,8.337064850965742e-05
306.0,8.639146472586752e-05
307.0,9.036265008875046e-05
308.0,9.548785512973616e-05
309.0,0.00010087489656827456
310.0,0.00010810449043403584
311.0,0.00011534863076632781
312.0,0.00012425106828312034
313.0,0.000133594748618011
314.0,0.0001441409368527734
315.0,0.00015583144712128473
316.0,0.00016781288672041024
317.0,0.00018161263463587404
318.0,0.00019538328961827647
319.0,0.00021260145716845636
320.0,0.00023060028508911756
321.0,0.0002516732662699348
322.0,0.00027594162126533056
323.0,0.0003019604010665881
324.0,0.000336687665497562
325.0,0.000371414929928536
326.0,0.00040968668337082556
327.0,0.0004485984813404661
328.0,0.0004908171760347541
329.0,0.0005360081987234831
330.0,0.0005837933412768549
331.0,0.0006415379645815838
332.0,0.0006992680414197822
333.0,0.0007551507170085807
334.0,0.0008108006491328879
335.0,0.0008592840220797335
336.0,0.0009024045976989254
337.0,0.0009422861601039463
338.0,0.0009728337398184307
339.0,0.001003381319532915
340.0,0.0010122255711835846
341.0,0.0010197266990912524
342.0,0.0010100775429592167
343.0,0.0009902846508331017
344.0,0.0009657980988397453
345.0,0.0009312405431849631
346.0,0.0008965714646201119
347.0,0.0008493681807279684
348.0,0.000802164896835825
349.0,0.0007549228223662663
350.0,0.0007076758990745307
351.0,0.0006645116840557467
352.0,0.0006277673095991815
353.0,0.0005911974927409846
354.0,0.0005565526582870181
355.0,0.0005219126726552283
356.0,0.0004888970424527008
357.0,0.00045635659682350977
358.0,0.0004277776389128479
359.0,0.0004036450509384053
360.0,0.0003805792038428813
361.0,0.00036277432880929615
362.0,0.000344974302597888
363.0,0.00033263405015767174
364.0,0.0003211326439540596
365.0,0.00031199746297277573
366.0,0.00030467574148565333
367.0,0.000297300682954585
368.0,0.00028985774091304004
369.0,0.00028238570593843365
370.0,0.000280979547507132
371.0,0.0002794715638101154
372.0,0.0002790254721698404
373.0,0.0002791854833016782
374.0,0.00028020858478100454
375.0,0.00028264269351380947
376.0,0.00028515438340144484
377.0,0.00028775335208826444
378.0,0.0002901826119988925
379.0,0.00028578473028444216
380.0,0.00027973824902984506
381.0,0.0002762761899955368
382.0,0.00027535006495974846
383.0,0.00027547613433634796
384.0,0.00028049466528944176
385.0,0.00028580412557314977
386.0,0.00028170687083366733
387.0,0.0002766543981253352
388.0,0.0002794618661657616
389.0,0.00028713270284962095
390.0,0.0002962145467869589
391.0,0.0003081571958086692
392.0,0.0003199155895876571
393.0,0.0003276252168489317
394.0,0.0003353445417545601
395.0,0.00034307356430454233
396.0,0.0003508122844988783
397.0,0.0003555447349435349
398.0,0.0003569945327744287
399.0,0.0003600929301454692
400.0,0.00037013484087383377
401.0,0.0003802300886461443
402.0,0.0003768989478106125
403.0,0.00037210831149983304
404.0,0.00036854927602198676
405.0,0.0003657515056259142
406.0,0.00035925408390886514
407.0,0.0003458325441231997
408.0,0.00033271163131250224
409.0,0.0003235522062203338
410.0,0.00031439278112816544
411.0,0.0003035556635627889
412.0,0.00029227245435713736
413.0,0.00027769689489336917
414.0,0.00026002778688073735
415.0,0.00024492855462186373
416.0,0.00023792200657623996
417.0,0.0002309203073527931
418.0,0.0002156707616064355
419.0,0.0002001545306403483
420.0,0.00018321759477642872
421.0,0.00016554363794161995
422.0,0.00015329551312276486
423.0,0.0001484369933015088
424.0,0.00014390819338828208
425.0,0.00014118800414703993
426.0,0.00013847751255015157
427.0,0.00013765321278007818
428.0,0.0001370762029410268
429.0,0.00013782292155626975
430.0,0.0001393939399415861
431.0,0.00014246324437956523
432.0,0.00014832062156926314
433.0,0.00015489562444114262
434.0,0.00016932087041742684
435.0,0.00018375096521588795
436.0,0.000192924936774587
437.0,0.00020094003983300645
438.0,0.00020300078925818992
439.0,0.00020030969295000916
440.0,0.0001950972091098392
441.0,0.00018382369754854148
442.0,0.00017255018598724372
443.0,0.00016128637207029977
444.0,0.00015001770933117896
445.0,0.00014209958271629757
446.0,0.00013524819698033466
447.0,0.00012637970121878045
448.0,0.00011546985132075036
449.0,0.00010622799625157466
450.0,0.00010166525458310962
451.0,9.704432704852178e-05
452.0,0.0001009427800787512
453.0,0.00010479274488721157
454.0,0.00011838399344906861
455.0,0.00013538396400128794
456.0,0.00013520455758074255
457.0,0.00011753060074593383
458.0,0.00010192224215848545
459.0,9.283070057679371e-05
460.0,8.373915899510199e-05
461.0,7.889518564037663e-05
462.0,7.40948516852434e-05
463.0,6.929451773011016e-05
464.0,6.449903259715382e-05
465.0,5.97035474641975e-05
466.0,5.491291115341806e-05
467.0,5.064594763774408e-05
468.0,4.800818837350925e-05
469.0,4.537527793145133e-05
470.0,4.705297040465951e-05
471.0,4.87452093443984e-05
472.0,4.720813271432038e-05
473.0,4.462371049403147e-05
474.0,4.204413709591947e-05
475.0,3.947426134216128e-05
476.0,3.862086863902648e-05
477.0,4.255326342449421e-05
478.0,4.644201881036982e-05
479.0,4.823123419364675e-05
480.0,5.002529839910059e-05
481.0,5.183875789326204e-05
482.0,5.3661915031777284e-05
483.0,5.552386274770775e-05
484.0,5.7468240440645556e-05
485.0,5.8816213005824385e-05
486.0,5.8704690095755624e-05
487.0,5.880651536147058e-05
488.0,6.290861892312988e-05
489.0,6.703981541785061e-05
490.0,6.761197643472508e-05
491.0,6.750045352465632e-05
492.0,6.35632099170117e-05
493.0,5.698820704513223e-05
494.0,5.0340471840599235e-05
495.0,4.366364370300483e-05
496.0,3.703045496500254e-05
497.0,3.045545209312308e-05
498.0,2.3933786265189542e-05
499.0,2.137360815578515e-05
500.0,1.9322556374955495e-05
501.0,1.5884741451531793e-05
502.0,1.179233553422629e-05
503.0,6.807746336370769e-06
504.0,7.70962726127459e-07
505.0,4.116650028190016e-06
506.0,5.498564348607159e-06
507.0,6.962908646031641e-06
508.0,8.563019964409387e-06
509.0,1.0405572391632243e-05
510.0,7.472034974606378e-06
511.0,2.8947468396106474e-06
512.0,1.7601224502155195e-06
513.0,6.33741058521125e-06
514.0,1.0153433638433327e-05
515.0,1.239358948416217e-05
516.0,1.4371908932338292e-05
517.0,1.4245839555738833e-05
518.0,1.4022793735601328e-05
519.0,1.37464108715179e-05
520.0,1.3436086252196156e-05
521.0,1.4531920064176065e-05
522.0,1.637447249139892e-05
523.0,1.4425245976284217e-05
524.0,7.505976729844695e-06
525.0,1.5128325191935043e-06
526.0,1.0764385232723013e-06
527.0,3.6851048544457156e-06
528.0,2.5698757537581964e-07
529.0,4.208777649551159e-06
530.0,4.732450444656603e-06
531.0,4.300905270912302e-06
532.0,8.858798117200424e-06
533.0,1.71890746171185e-05
534.0,2.3953181553897153e-05
535.0,2.7895273983718688e-05
536.0,3.119732188618912e-05
537.0,3.0751230245914115e-05
538.0,3.0300289783462205e-05
539.0,2.779344871800374e-05
540.0,2.5145991809415108e-05
541.0,2.0893574760271828e-05
542.0,1.6039903761192667e-05
543.0,1.4604652396829599e-05
544.0,1.6335681913983707e-05
545.0,1.6694494755074474e-05
546.0,1.402764255777823e-05
547.0,1.1826277289464607e-05
548.0,1.3552457984441808e-05
549.0,1.5283487501595915e-05
550.0,1.303848283369017e-05
551.0,1.0366781814217026e-05
552.0,4.616078712410949e-06
553.0,2.463201665866347e-06
554.0,6.264678252557717e-06
555.0,6.7447116480710405e-06
556.0,6.579851694056363e-06
557.0,4.8730662877867684e-06
558.0,3.1711297036940765e-06
559.0,1.469193119601384e-06
560.0,2.278946423144061e-07
561.0,2.04135413647585e-06
562.0,4.766392199894919e-06
563.0,1.318879632117414e-06
564.0,4.771241022071821e-06
565.0,8.63575229706292e-06
566.0,1.0303747125917297e-05
567.0,1.2650577059537989e-05
568.0,1.6524785978882892e-05
569.0,2.064143600707291e-05
570.0,2.6717010194731437e-05
571.0,3.278773556021306e-05
572.0,3.2739247338444044e-05
573.0,3.2167086321569574e-05
574.0,3.159007648251821e-05
575.0,3.1008217821289934e-05
576.0,2.9223851260189906e-05
577.0,2.64163832197635e-05
578.0,2.2828254808855828e-05
579.0,1.7795177389231286e-05
580.0,1.3479725651788274e-05
581.0,1.286392523532169e-05
582.0,1.2248124818855101e-05
583.0,1.162262675803471e-05
584.0,1.0997128697214318e-05
585.0,1.0361932992040125e-05
586.0,9.717039642512124e-06
587.0,9.072146292984124e-06
588.0,8.417555299102318e-06
589.0,6.822292802901477e-06
590.0,3.937243607644633e-06
591.0,1.5758672074932338e-06
592.0,8.921832805500154e-07
593.0,3.345687302062558e-07
594.0,1.8619477159304668e-06
595.0,3.3796290573008734e-06
596.0,2.938386239202768e-06
597.0,2.2159117348443316e-06
598.0,1.4837395861320907e-06
599.0,7.467186152429476e-07
600.0,1.1637173224565418e-06
601.0,2.632910442057926e-06
602.0,3.3214431911780465e-06
603.0,2.5456316428736853e-06
604.0,1.7649712723924217e-06
605.0,9.697644353804515e-07
606.0,1.6485995401467675e-07
607.0,6.497421717049025e-07
608.0,1.4740419417782863e-06
609.0,2.3128881783823765e-06
610.0,3.1662808815171743e-06
611.0,5.484017882076453e-06
612.0,8.596961719647702e-06
613.0,9.629760843327884e-06
614.0,8.39816001039471e-06
615.0,6.521665827933536e-06
616.0,3.1759785258709787e-06
617.0,5.479169059899551e-07
618.0,1.6728436510312788e-06
619.0,2.6959451303576553e-06
620.0,1.5079836970166021e-06
621.0,2.8123168626033093e-07
622.0,9.358226801421357e-07
623.0,2.1383305800138955e-06
624.0,4.7760898442487235e-06
625.0,8.20420712331862e-06
626.0,1.162262675803471e-05
627.0,1.50361975705739e-05
628.0,1.8440070738759285e-05
629.0,2.1839095084767766e-05
630.0,2.4879306589685483e-05
631.0,2.6018779801257513e-05
632.0,2.7158253012829542e-05
633.0,3.277318909368236e-05
634.0,3.8392973996712074e-05
635.0,4.582621839390324e-05
636.0,5.368615914266179e-05
637.0,6.0004174439165434e-05
638.0,6.559486640913374e-05
639.0,7.235897334591239e-05
640.0,8.018982116160954e-05
641.0,8.967411733963034e-05
642.0,0.00010199012566896207
643.0,0.00011478616739380713
644.0,0.00012936657567975222
645.0,0.00014422336682978074
646.0,0.00016331317974024493
647.0,0.0001824126902950629
648.0,0.00020971640797319953
649.0,0.00023786866953229405
650.0,0.00026946359483698913
651.0,0.0003022173886419639
652.0,0.00034190984698208575
653.0,0.0003861650469906727
654.0,0.00043055116519803596
655.0,0.00047500516691587584
656.0,0.0005173402333424094
657.0,0.0005550349769456476
658.0,0.0005891512897823319
659.0,0.0006044347772839278
660.0,0.0006192527778565412
661.0,0.0006204601345785898
662.0,0.0006212795855264862
663.0,0.000608095638027489
664.0,0.0005929818593020847
665.0,0.0005830563203059658
666.0,0.000575007275492308
667.0,0.0005723258768284811
668.0,0.0005732520018642694
669.0,0.0005852479879299256
670.0,0.0006108061296243774
671.0,0.0006414458369602226
672.0,0.0006831311612150514
673.0,0.0007275318258889455
674.0,0.0007851018915953059
675.0,0.0008429822819209882
676.0,0.0009096244939203328
677.0,0.0009762570082753236
