wavelength,intensity
0,0.0
1,9.381757901816995e-06
2,7.659956077920605e-06
3,3.453449918519714e-05
4,4.473808764479884e-05
5,0.0
6,1.2757469519037635e-06
7,4.271695842364967e-05
8,0.0
9,8.245367229239808e-05
10,6.97896337302407e-05
11,1.0130855816425708e-05
12,3.2489145020437174e-05
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,7.176783659731819e-05
22,1.2816631894235528e-07
23,5.402407859368603e-05
24,0.0
25,4.021104868370261e-05
26,3.490542427220573e-05
27,2.763756653052398e-05
28,0.0
29,0.0
30,2.876264470301322e-05
31,5.454355537613193e-05
32,0.0
33,9.211027795507669e-05
34,0.0
35,4.4328806466789216e-05
36,0.0
37,4.16923120572886e-05
38,0.0
39,3.942047558163307e-05
40,4.363382729914619e-05
41,0.0
42,0.0
43,0.0
44,0.0
45,3.0442818480086537e-06
46,0.0
47,0.0
48,2.4773940324864382e-05
49,6.356060687590398e-05
50,0.0
51,1.7309137497861915e-05
52,0.0
53,7.993513505248605e-05
54,6.805011781028507e-05
55,4.032234568340188e-05
56,0.0
57,3.559122734000741e-05
58,0.0
59,2.0484374541600428e-05
60,8.091590969685504e-05
61,0.0
62,1.2738956106975172e-06
63,0.0
64,5.9683413975675955e-05
65,0.0
66,0.0
67,0.0
68,2.2231055951515435e-05
69,5.0696835111008e-06
70,0.0
71,5.0105468058094536e-05
72,0.0
73,0.0
74,1.5654219229259827e-05
75,3.700942516750443e-05
76,3.0049935314093336e-05
77,5.9604905058964684e-05
78,0.0
79,3.6041706102178995e-05
80,1.1161055483628577e-05
81,1.141026913950574e-05
82,0.0
83,0.0
84,5.983548596611858e-05
85,0.0
86,0.0
87,0.0
88,2.9636630189182687e-05
89,0.0
90,3.5325359820765954e-05
91,1.7002839472731928e-06
92,1.9360054580150344e-05
93,2.0844831942154777e-05
94,9.557599178501376e-06
95,6.277627989525817e-05
96,0.0
97,0.0
98,2.2089105996978252e-05
99,0.0
100,0.0
101,0.0
102,0.0
103,0.0
104,4.3654609413732496e-05
105,3.48863955102906e-05
106,1.544141639474599e-05
