wavelength,intensity
110.8544,0.0
111.3365,9.415557832568471e-05
111.8186,0.0
112.3007,0.0
112.7828,3.9637766712545266e-05
113.2649,0.0
113.7471,0.0
114.2292,6.756484815509746e-05
114.7113,1.8427555810825507e-05
115.1934,4.746421379314779e-05
115.6755,2.8722325474552065e-05
116.1576,0.00015771640436217292
116.6397,0.0
117.1219,0.0
117.604,1.2750046628615918e-06
118.0861,0.0
118.5682,1.6639903756818044e-05
119.0503,0.00011545679135695597
119.5324,0.0
120.0146,0.0
120.4967,0.0
120.9788,7.429637335572607e-06
121.4609,3.967237107735192e-05
121.943,0.0
122.4251,0.0
122.9073,0.0
123.3894,0.0
123.8715,8.667810164584095e-05
124.3536,0.0
124.8357,0.00010565265231026739
125.3178,0.00011438658316707146
125.8,9.440223413044525e-05
126.2821,0.00014672356800203917
126.7642,3.309204394402863e-05
127.2463,6.181016813605924e-05
127.7284,0.00011177738362916687
128.2105,0.0
128.6927,0.0
129.1748,2.4644845215695695e-05
129.6569,0.0
130.139,2.7177946608523284e-05
130.6211,0.0
131.1032,9.391270240997992e-05
131.5854,4.291045688264785e-05
132.0675,0.0
132.5496,0.0
133.0317,0.0
133.5138,0.00015154962160986746
133.9959,2.4628665736471567e-05
134.4781,0.0
134.9602,0.0
135.4423,2.3367016794085723e-05
135.9244,4.594604721218913e-06
136.4065,4.553991435080548e-05
136.8886,6.251304994208637e-05
137.3708,0.00010500440009689557
137.8529,9.135613272737965e-05
138.335,0.0
138.8171,9.578714448143307e-05
139.2992,0.0
139.7813,7.883649477602045e-05
140.2635,8.776338247278702e-05
140.7456,5.4338776140041614e-05
141.2277,6.745172339632176e-05
141.7098,0.00020437080684910586
142.1919,3.0409687792493945e-05
142.674,6.895451730214676e-05
143.1561,0.0
143.6383,0.0
144.1204,5.9322610459342844e-05
144.6025,0.00023235147520211
145.0846,0.0
145.5667,1.3989313437541251e-05
146.0488,0.0
146.531,8.882660373876183e-05
147.0131,0.00015424775457852354
147.4952,0.0
147.9773,0.00011891205229148194
148.4594,0.0
148.9415,1.389418461005116e-05
149.4237,5.979349377795366e-05
149.9058,0.0
150.3879,0.0
150.87,8.921283920018575e-05
151.3521,1.9170259654668763e-05
151.8342,0.0
152.3164,0.0
152.7985,1.1091100339317326e-05
153.2806,0.0
153.7627,0.0
154.2448,0.00011954456599101701
154.7269,2.749683312209661e-05
155.2091,0.0
155.6912,2.6346795942749815e-05
156.1733,0.0
156.6554,0.0
157.1375,0.0
157.6196,7.806646525122155e-05
158.1018,3.459210934454722e-05
158.5839,0.00012701385945647432
159.066,0.0
159.5481,0.0
160.0302,9.891958873106868e-05
160.5123,9.079130078756469e-05
160.9945,2.1414259617929062e-05
161.4766,0.0
161.9587,2.9514499880372158e-05
162.4408,0.0
162.9229,0.0
163.405,0.00013190159428341097
163.8871,0.0
164.3693,1.670713086925282e-05
164.8514,2.641522735371992e-05
165.3335,0.0
165.8156,0.00011474852872501232
166.2977,6.102571048276176e-05
166.7798,0.0
167.262,0.0
167.7441,0.00016871138969618859
168.2262,0.0
168.7083,4.029640942718954e-05
169.1904,9.39875373564566e-06
169.6725,0.0
170.1547,2.868943357540231e-05
170.6368,6.462448883339555e-05
171.1189,0.0
171.601,0.0
172.0831,1.679644862413603e-05
172.5652,4.653646320653759e-05
173.0474,0.0
173.5295,0.0
174.0116,0.0
174.4937,0.0
174.9758,9.127909164103857e-06
175.4579,0.0
175.9401,5.390040533196962e-05
176.4222,9.972570142742539e-05
176.9043,1.0222106684753564e-05
177.3864,0.0
177.8685,3.136904488791688e-05
178.3506,8.565316822198712e-05
178.8328,0.0
179.3149,2.5881787042179416e-05
179.797,5.4342776900717155e-05
180.2791,8.295973360768349e-05
180.7612,8.643106837995174e-05
181.2433,0.00014126504368277355
181.7255,0.0
182.2076,0.0
182.6897,0.0
183.1718,5.106866962966546e-05
183.6539,0.0
184.136,0.0
184.6181,0.0
185.1003,4.0504106831548637e-05
185.5824,2.6475555348843253e-05
186.0645,6.320963550139045e-05
186.5466,0.0
187.0287,0.0
187.5108,0.0
187.993,0.0
188.4751,2.6999288051047428e-05
188.9572,0.0
189.4393,0.0
189.9214,0.0001058574138319638
190.4035,2.8435570792639345e-05
190.8857,0.00015786860752484353
191.3678,0.00017892337376062685
191.8499,0.0
192.332,0.00024276197111986045
192.8141,2.397840745322712e-05
193.2962,0.0
193.7784,5.5829872990940324e-05
194.2605,0.00011170970839062086
194.7426,9.17798519739577e-05
195.2247,6.060502685426501e-05
195.7068,0.0
196.1889,8.734276290966135e-05
196.6711,4.078027643428732e-05
197.1532,5.5273766079053124e-05
197.6353,7.696852376260424e-05
198.1174,0.00010058225311095741
198.5995,0.00014297816514382487
199.0816,5.686830145149961e-05
199.5638,0.0
200.0459,0.0
200.528,0.0
201.0101,3.3051507762985926e-05
201.4922,0.0
201.9743,0.00012929345843062972
202.4565,3.827256048242617e-06
202.9386,7.143079130518826e-05
203.4207,3.7669222016082515e-05
203.9028,2.360179635634934e-06
204.3849,1.4851871989712291e-05
204.867,0.00013672019582944045
205.3492,0.0
205.8313,7.844775099804556e-05
206.3134,0.0
206.7955,0.00011938360714867097
207.2776,0.0
207.7597,4.82914242210693e-05
208.2419,0.0001283910846195678
208.724,0.00011577105170326736
209.2061,2.4982930854445973e-05
209.6882,9.264886319672188e-05
210.1703,8.673733058554923e-05
210.6524,0.000152908996061957
211.1346,6.514713309810722e-05
211.6167,5.4400401148494625e-05
212.0988,0.00011565830682717537
212.5809,7.579200166694959e-08
213.063,2.242232186436372e-05
213.5451,0.00010719384055501223
214.0273,0.00013736845208974684
214.5094,0.00014863958047296887
214.9915,0.00014676516701100185
215.4736,2.4600337562515516e-05
215.9557,0.00022704849942942345
216.4378,3.689077748021751e-05
216.92,7.488476418678534e-05
217.4021,0.00023466432224792253
217.8842,0.0001114151451647646
218.3663,0.00020646996365280407
218.8484,0.00020562285987362215
219.3305,0.00019510769479206297
219.8127,0.0003027682448508661
220.2948,0.00032991360194059425
220.7769,0.0002741027479248753
221.259,0.0002629236905813026
221.7411,0.00033900207771542755
222.2232,0.00037119619225510475
222.7054,0.00040363537846620034
223.1875,0.0003860686155934859
223.6696,0.0003546253646978325
224.1517,0.00047422990021209736
224.6338,0.00023546282726691613
225.1159,0.0003018054301395966
225.598,0.0003347653943160996
226.0802,0.00029216487801523054
226.5623,0.0003227293949194906
227.0444,0.00038916801966858996
227.5265,0.00018030216998112347
228.0086,0.0003123946028647148
228.4907,0.00026025857669357926
228.9729,0.0002610325289500966
229.455,0.00022464130276921178
229.9371,0.00023001796258405218
230.4192,7.33322258410625e-05
230.9013,0.00022571252340388163
231.3834,0.0002654704340884723
231.8656,0.00020789330769457287
232.3477,0.00010437560613131101
232.8298,9.275069994058038e-05
233.3119,0.00010971527202211354
233.794,2.495645032314967e-05
234.2761,0.00010532100510262854
234.7583,0.0001601357775975357
235.2404,0.00019880979629499865
235.7225,7.697736150813279e-05
236.2046,0.00011760655312646652
236.6867,0.00015720135538819716
237.1688,0.00020149788596127033
237.651,0.00012334760981454947
238.1331,0.00011086229766130465
238.6152,3.9881318651434185e-05
239.0973,4.946192053700451e-05
239.5794,0.00013056332037125716
240.0615,5.761614434986008e-05
240.5437,7.398479982503661e-05
241.0258,1.65427501632307e-05
241.5079,0.0
241.99,0.0
242.4721,0.00026247162835809176
242.9542,6.40459821440994e-05
243.4364,8.549454868655465e-05
243.9185,0.0001369133921508797
244.4006,0.0
244.8827,0.0
245.3648,0.00021226679623623346
245.8469,0.00012711828553638098
246.329,0.00017094854034151218
246.8112,0.00018860181523610675
247.2933,8.588212384978083e-05
247.7754,8.41736321911629e-06
248.2575,0.00012103861916462512
248.7396,1.6378023509896935e-05
249.2217,0.00010224681986312769
249.7039,0.0
250.186,5.8405390036945545e-05
250.6681,0.0
251.1502,0.00010327431761410963
251.6323,7.096477881403884e-06
252.1144,0.00014632892075940314
252.5966,0.0
253.0787,0.0
253.5608,0.00011123786469629878
254.0429,4.542743051291415e-05
254.525,0.0
255.0071,0.0
255.4893,4.5485623814245115e-05
255.9714,0.0
256.4535,8.85987277681255e-05
256.9356,0.0
257.4177,0.0
257.8998,1.814853813298316e-05
258.382,0.0
258.8641,0.00011395681782342724
259.3462,8.528873559706454e-05
259.8283,0.0
260.3104,0.0
260.7925,3.68640040104615e-05
261.2747,0.00010302316243192198
261.7568,9.95749603282207e-05
262.2389,2.3421362491552672e-05
262.721,0.0
263.2031,0.00012920805227848052
263.6852,8.459872690813563e-05
264.1674,0.0001398895443249962
264.6495,6.840380847471098e-05
265.1316,2.619080054901112e-05
265.6137,0.0
266.0958,5.259394436699707e-05
266.5779,0.0
267.0601,0.00010598648016451298
267.5422,0.0
268.0243,0.0
268.5064,4.578474671454084e-05
268.9885,0.0
269.4706,4.9970956022865464e-05
269.9528,5.0530180521734265e-05
270.4349,0.0
270.917,0.0
271.3991,7.139726214462754e-06
271.8812,1.621029572289393e-06
272.3633,0.0
272.8455,0.0
273.3276,0.0001598608707871982
273.8097,0.0
274.2918,0.0
274.7739,0.0
275.256,0.0
275.7382,0.0
276.2202,0.0
276.7024,4.519387311088121e-05
277.1845,4.610984354183128e-05
277.6666,2.3118198367935662e-05
278.1487,0.00014458638440052187
278.6308,0.0
279.1129,2.14896302107675e-06
279.5951,0.0
280.0772,3.1334718559016794e-05
280.5593,0.0
281.0414,0.0
281.5235,3.663511238115154e-05
282.0056,0.0
282.4878,7.987990827381124e-05
282.9699,9.640713081415835e-05
283.452,0.0
283.9341,8.424505912106232e-05
284.4162,0.0
284.8983,1.3409705859790758e-05
285.3805,0.0
285.8626,8.626350896332545e-05
286.3447,0.0
286.8268,8.574713655835919e-05
287.3089,0.0
287.791,5.9641852286273735e-05
288.2732,0.0
288.7553,0.0
289.2374,4.97897030572967e-05
289.7195,0.0
290.2016,5.9421054667559005e-05
290.6837,0.00010193434637205184
291.1659,2.7074318810045355e-05
291.648,4.0860649772257245e-05
292.1301,0.0
292.6122,2.814573923334326e-05
293.0943,0.00019792450021974717
293.5764,0.00015009954417583428
294.0586,0.0
294.5407,1.3338459625424585e-05
295.0228,0.0001359883976866925
295.5049,9.611830277835347e-05
295.987,0.0
296.4691,3.367704279779543e-05
296.9513,0.0
