wavelength,intensity
206.0,0.0
207.0,2.654730141853986e-05
208.0,4.08125362629863e-05
209.0,2.609151213391105e-05
210.0,1.4270083666623343e-05
211.0,3.812628877698245e-05
212.0,6.297650243360652e-05
213.0,9.636064312157857e-05
214.0,0.00013486998885053628
215.0,0.00017229319841186792
216.0,0.00020540580505793343
217.0,0.00023861538814753697
218.0,0.00027571857544519306
219.0,0.000313573330180269
220.0,0.0003414879994526953
221.0,0.0003596856290826095
222.0,0.00037339324937671217
223.0,0.000354948329815776
224.0,0.0003361397485915721
225.0,0.00030918029728799554
226.0,0.00027937458736657734
227.0,0.00025044166543700157
228.0,0.00022283247196172015
229.0,0.00019624153114358817
230.0,0.00018331942004214366
231.0,0.00016936450981701895
232.0,0.00015405192938236162
233.0,0.00014189108336269077
234.0,0.00013282863471406043
235.0,0.00013068060648969274
236.0,0.00012916292514832234
237.0,0.00011832095876076889
238.0,0.00010410906096026837
239.0,9.23749112921649e-05
240.0,8.385068190517074e-05
241.0,7.464761741341025e-05
242.0,6.838293916085253e-05
243.0,6.199219153169536e-05
244.0,5.049078532808321e-05
245.0,3.784505709072212e-05
246.0,2.798740160507983e-05
247.0,2.1519072821092216e-05
248.0,1.5433800989079886e-05
249.0,1.3096668699812997e-05
250.0,1.0759536410546108e-05
251.0,6.928966890793326e-06
252.0,2.5504804650505875e-06
253.0,2.957781527910377e-07
254.0,5.479169059899551e-07
255.0,7.70962726127459e-07
256.0,1.0424967680339854e-06
257.0,2.8705027287261364e-06
258.0,6.40044527351098e-07
259.0,3.69480249879952e-06
260.0,6.7786534033093555e-06
261.0,6.9677574682085445e-06
262.0,7.1277686000463185e-06
263.0,7.2683844431764846e-06
264.0,7.38960499759904e-06
265.0,8.713333451893357e-06
266.0,1.0856512854084154e-05
267.0,1.1976590776948576e-05
268.0,9.959480751357236e-06
269.0,7.92782425923519e-06
270.0,5.881621300582439e-06
271.0,3.830569519752784e-06
272.0,2.889898017433745e-06
273.0,2.885049195256843e-06
274.0,2.468050488043249e-06
275.0,3.8305695197527834e-07
276.0,1.69708776191579e-06
277.0,3.782081297983761e-06
