wavelength,intensity
206.0,0.0
207.0,1.7310295171541057e-05
208.0,3.048454502618449e-05
209.0,3.388841819436988e-05
210.0,3.8223265220520496e-05
211.0,5.700760233383984e-05
212.0,7.609741524430403e-05
213.0,7.728537667764508e-05
214.0,6.820838156248405e-05
215.0,5.909259586990781e-05
216.0,5.002044957692369e-05
217.0,4.101618679441619e-05
218.0,3.644859630377427e-05
219.0,3.1478553572449455e-05
220.0,2.7332810611198024e-05
221.0,2.2697336610079467e-05
222.0,1.7048458773988336e-05
223.0,9.833411374757777e-06
224.0,2.7492821743035796e-06
225.0,1.9928659147068276e-06
226.0,3.617221343969084e-06
227.0,3.428117279069896e-06
228.0,6.158004164665867e-07
229.0,2.162574690898407e-06
230.0,1.0570432345646922e-06
231.0,4.242719404789475e-06
232.0,3.447512567777505e-06
233.0,4.2669635156739865e-07
234.0,1.5176813413704065e-06
235.0,5.430680838130528e-07
236.0,3.636616632676693e-07
237.0,1.2316008329331735e-06
238.0,2.084993536067971e-06
239.0,1.8328547828690534e-06
240.0,7.418697930660453e-07
241.0,1.6485995401467675e-07
242.0,5.430680838130528e-07
243.0,1.2025078998717598e-06
244.0,1.8183083163383466e-06
245.0,1.7261806949772036e-06
246.0,2.2692487787902567e-06
247.0,2.8365609734878205e-06
248.0,3.360233768593264e-06
249.0,3.84511598628349e-06
250.0,3.520244900431039e-06
251.0,3.5638843000231593e-06
252.0,3.893604208052513e-06
253.0,3.4378149234237002e-06
254.0,1.6922389397388878e-06
255.0,3.879057741521806e-08
256.0,2.1722723352522113e-06
257.0,3.990580651590558e-06
258.0,4.688811045064483e-06
259.0,4.7615433777180165e-06
260.0,4.2524170491432795e-06
261.0,2.34198111144379e-06
262.0,4.2669635156739865e-07
263.0,4.557892846288122e-07
264.0,5.818586612282709e-07
265.0,6.885327491201204e-07
266.0,8.146021257195794e-07
267.0,1.4594954752475794e-06
268.0,3.6802560322688134e-06
269.0,5.9495048110590705e-06
270.0,4.59668342370334e-06
271.0,2.3856205110359104e-06
272.0,2.5116898876353694e-06
273.0,4.523951091049806e-06
274.0,5.711912524390859e-06
275.0,4.4075793588041526e-06
276.0,2.6959451303576553e-06
277.0,2.2450046679057452e-06
278.0,2.0268076699451435e-06
279.0,1.7843665611000307e-06
280.0,1.5370766300780155e-06
281.0,1.2558449438176847e-06
282.0,9.503691466728425e-07
283.0,6.40044527351098e-07
284.0,3.103246193217445e-07
285.0,5.818586612282709e-08
286.0,5.188239729285415e-07
287.0,2.167423513075309e-06
288.0,3.2487108585245126e-06
289.0,7.224745043584363e-07
290.0,1.8183083163383466e-06
291.0,1.1394732115720303e-06
292.0,3.539640189138648e-07
293.0,8.776368140193085e-07
294.0,2.715340419065264e-07
295.0,9.212762136114289e-08
296.0,1.3576702095326323e-06
297.0,2.7977703960726025e-06
298.0,2.5844222202889034e-06
299.0,1.8861918268149783e-06
300.0,2.0655982473603616e-06
301.0,3.292350258116633e-06
302.0,4.800333955133235e-06
303.0,6.3665035182726635e-06
304.0,7.952068370119702e-06
305.0,9.561877332851252e-06
306.0,1.0357084169863222e-05
307.0,1.250026357205402e-05
308.0,1.629689133656849e-05
309.0,1.9875322103122354e-05
310.0,2.166938630857619e-05
311.0,2.3492543447091437e-05
312.0,2.7022485991876282e-05
313.0,3.1027613109997545e-05
314.0,3.3156246045657636e-05
315.0,3.313200193477312e-05
316.0,3.321928073395736e-05
317.0,3.335989657708753e-05
318.0,3.3553849464163624e-05
319.0,3.209435398891604e-05
320.0,3.0290592139108403e-05
321.0,2.6489115552417034e-05
322.0,2.0631738362719103e-05
323.0,1.5181662235880968e-05
324.0,1.1506255025789059e-05
325.0,7.879336037466169e-06
326.0,6.05617889895092e-06
327.0,4.591834601526437e-06
328.0,3.1711297036940765e-06
329.0,1.9346800485840008e-06
330.0,1.469193119601384e-06
331.0,1.7649712723924217e-06
332.0,4.6063810680571445e-07
333.0,1.0279503015032786e-06
334.0,1.8377036050459556e-06
335.0,2.6620033751193395e-06
336.0,3.4911519673696253e-06
337.0,3.7966277645144676e-06
338.0,2.5456316428736853e-06
339.0,1.2946355212329028e-06
340.0,2.012261203414437e-06
341.0,2.851107440018527e-06
342.0,2.453504021512542e-06
343.0,1.2655425881714893e-06
344.0,2.4244110884511287e-08
345.0,1.3528213873557299e-06
346.0,2.6813986638269487e-06
347.0,2.29834171185167e-06
348.0,7.040489800862078e-06
349.0,8.829705184139011e-06
350.0,9.319436224006138e-06
351.0,8.99941396033059e-06
352.0,7.583557884675131e-06
353.0,6.119213587250649e-06
354.0,6.497421717049025e-06
355.0,6.890176313378108e-06
356.0,5.624633725206618e-06
357.0,3.8548136306372945e-06
358.0,4.0293712290057755e-06
359.0,6.361654696095762e-06
360.0,7.787208416105026e-06
361.0,4.931252153909596e-06
362.0,1.3334260986481208e-06
363.0,4.89731039867128e-06
364.0,9.2370062469988e-06
365.0,8.727879918424063e-06
366.0,4.5045558023421975e-06
367.0,1.8958894711687827e-06
368.0,3.8839065636987086e-06
369.0,6.221038852965596e-06
370.0,7.559313773790619e-06
371.0,7.719324905628394e-06
372.0,7.336267953653115e-06
373.0,6.802897514193867e-06
374.0,6.977455112562349e-06
375.0,8.543624675701778e-06
376.0,1.0138887171902621e-05
377.0,8.330276499918078e-06
378.0,6.002841855004994e-06
379.0,6.919269246439522e-06
380.0,8.524229386994168e-06
381.0,8.897588694615643e-06
382.0,7.874487215289266e-06
383.0,6.1434576981351596e-06
384.0,2.8317121513109183e-06
385.0,5.042775063978348e-07
386.0,1.7649712723924217e-06
387.0,4.533648735403611e-06
388.0,4.620927534587851e-06
389.0,3.035362682740813e-06
390.0,1.4255537200092636e-06
391.0,2.1819699796060158e-07
392.0,1.8328547828690534e-06
393.0,1.5176813413704065e-06
394.0,1.3770654982402409e-06
395.0,1.2364496551100757e-06
396.0,1.0667408789184966e-06
397.0,8.727879918424063e-08
398.0,2.371074044505204e-06
399.0,4.669415756356874e-06
400.0,6.5895493384101675e-06
401.0,7.447790863721867e-06
402.0,1.3256679831650772e-05
403.0,1.9986845013191105e-05
404.0,3.078032317897553e-05
405.0,4.40321541884494e-05
406.0,6.175944806720406e-05
407.0,8.748729853784742e-05
408.0,0.00011465040037285387
409.0,0.00016803593254054774
410.0,0.00022176573108280163
411.0,0.0003095585054177939
412.0,0.0004064573678010086
413.0,0.0004982261763210608
414.0,0.0005850152444654343
415.0,0.0006473032141499207
416.0,0.0006320973078031551
417.0,0.0006170805055212889
418.0,0.0005279494562654716
419.0,0.00043642308885426457
420.0,0.0003494158237119305
421.0,0.00026447900563913366
422.0,0.00019412259585228187
423.0,0.00014360271759113725
424.0,9.761648806539625e-05
425.0,7.397363113082084e-05
426.0,4.9874984911616616e-05
427.0,3.6860746188810966e-05
428.0,2.5742396937174087e-05
429.0,1.7921246765830744e-05
430.0,1.162262675803471e-05
431.0,6.61379344929468e-06
432.0,4.286358804381595e-06
433.0,2.128632935660091e-06
434.0,1.944377692937805e-06
435.0,1.7795177389231285e-06
436.0,1.6389018957929631e-06
437.0,1.5370766300780155e-06
438.0,2.618363975527219e-07
439.0,1.9637729816454144e-06
440.0,2.938386239202768e-06
441.0,1.0327991236801808e-06
442.0,6.012539499358799e-07
443.0,3.879057741521806e-08
444.0,6.061027721127822e-07
445.0,3.1517344149864673e-07
446.0,1.677692473208181e-06
447.0,3.0983973710405425e-06
448.0,4.305754093089205e-06
449.0,5.19793737363922e-06
450.0,6.012539499358799e-06
451.0,7.156861533107732e-06
452.0,8.553322320055582e-06
453.0,8.902437516792546e-06
454.0,8.703635807539551e-06
455.0,8.470892343048244e-06
456.0,9.717039642512124e-06
457.0,1.2204485419262981e-05
458.0,1.3727015582810291e-05
459.0,1.243722888375429e-05
460.0,1.020192186020235e-05
461.0,7.986010125358018e-06
462.0,5.86222601187483e-06
463.0,5.2997626393541675e-06
464.0,5.193088551462317e-06
465.0,3.88875538587561e-06
466.0,1.3382749208250233e-06
467.0,3.297199080293535e-07
468.0,1.0715897010953988e-06
469.0,2.3225858227361814e-06
470.0,8.388462366040905e-07
471.0,4.1554406056052346e-06
472.0,4.2815099822046936e-06
473.0,3.3020479024704377e-06
474.0,1.226752010756271e-06
475.0,1.8764941824611737e-06
476.0,4.965193909147912e-06
477.0,7.995707769711822e-06
478.0,1.097773340850671e-05
479.0,1.834309429522124e-05
480.0,2.5960593935134688e-05
481.0,4.0380991089241996e-05
482.0,5.631906958471972e-05
483.0,7.785268887234265e-05
484.0,0.00010538915001497057
485.0,0.0001387587442364119
486.0,0.00018384309283724909
487.0,0.00023007661229401213
488.0,0.00030512668194810526
489.0,0.000381039841949687
490.0,0.00048496949648941
491.0,0.0005948486558401921
492.0,0.0006881981803899144
493.0,0.0007704390533323534
494.0,0.0008207601298842452
495.0,0.0008146069745417562
496.0,0.0007982809902721262
497.0,0.0007122919777869417
498.0,0.0006265890458101942
499.0,0.0005255832310431433
500.0,0.0004235591636189429
501.0,0.0003384574855921314
502.0,0.0002609781560274102
503.0,0.00019854472167761674
504.0,0.00015604964411924534
505.0,0.00011736089196974224
506.0,9.06584282415415e-05
507.0,6.37765580927954e-05
508.0,4.781423548643316e-05
509.0,3.2685910294498115e-05
510.0,2.2993114762870503e-05
511.0,1.422159544485432e-05
512.0,7.505976729844695e-06
513.0,2.9335374170258655e-06
514.0,8.339974144271882e-07
515.0,3.001420927502497e-06
516.0,4.708206333772092e-06
517.0,2.6038175089965126e-06
518.0,7.127768600046318e-07
519.0,8.049044813657747e-07
520.0,1.1637173224565418e-06
521.0,1.4061584313016547e-07
522.0,1.4401001865399704e-06
523.0,1.9104359376994893e-06
524.0,9.74613257557354e-07
525.0,7.70962726127459e-07
526.0,3.7966277645144676e-06
527.0,6.652584026709897e-06
528.0,7.1762568218153405e-06
529.0,7.549616129436815e-06
530.0,7.670836683859371e-06
531.0,7.118070955692514e-06
532.0,6.919269246439522e-06
533.0,8.05389363583465e-06
534.0,8.732728740600966e-06
535.0,7.661139039505568e-06
536.0,6.405294095687882e-06
537.0,7.074431556100394e-06
538.0,7.942370725765896e-06
539.0,8.616357008355311e-06
540.0,8.630903474886019e-06
541.0,8.179963012434108e-06
542.0,8.3787647216871e-06
543.0,8.853949295023523e-06
544.0,9.222459780468094e-06
545.0,9.523086755436033e-06
546.0,9.445505600605598e-06
547.0,9.018809249038199e-06
548.0,8.504834098286559e-06
549.0,8.049044813657748e-06
550.0,7.53991848508301e-06
551.0,6.846536913785987e-06
552.0,6.05617889895092e-06
553.0,5.406436727246017e-06
554.0,5.018530953093836e-06
555.0,4.354242314858227e-06
556.0,3.559035477846257e-06
557.0,2.7007939525345575e-06
558.0,1.7940642054538351e-06
559.0,8.291485922502861e-07
560.0,1.939528870760903e-07
561.0,7.030792156508273e-07
562.0,1.7940642054538351e-06
563.0,2.8753515509030386e-06
564.0,3.937243607644633e-06
565.0,3.8548136306372945e-06
566.0,2.637759264234828e-06
567.0,1.9637729816454144e-06
568.0,6.642886382356093e-07
569.0,4.2669635156739865e-07
570.0,3.6851048544457156e-07
571.0,1.0958338119799103e-06
572.0,1.7649712723924217e-06
573.0,2.371074044505204e-06
574.0,2.8947468396106474e-06
575.0,3.3165943690011443e-06
576.0,3.733593076214738e-06
577.0,4.74699691118731e-06
578.0,6.264678252557717e-06
579.0,7.4768837967832815e-06
580.0,7.598104351205837e-06
581.0,3.825720697575881e-06
582.0,4.363939959212032e-08
583.0,2.6959451303576553e-06
584.0,5.391890260715311e-06
585.0,4.325149381796814e-06
586.0,2.5892710424658056e-06
587.0,2.34198111144379e-06
588.0,3.0402115049177152e-06
589.0,2.8365609734878205e-06
590.0,1.3916119647709477e-06
591.0,9.697644353804515e-09
592.0,1.3625190317095345e-06
593.0,2.5698757537581967e-06
594.0,1.6922389397388878e-06
595.0,7.952068370119702e-07
596.0,1.5031348748396998e-07
597.0,1.1637173224565418e-06
598.0,1.6679948288543763e-06
599.0,2.846258617841625e-06
600.0,2.9529327057334747e-06
601.0,2.109237646952482e-06
602.0,2.9092933061413544e-06
603.0,6.730165181540333e-06
604.0,1.0657711144831161e-05
605.0,1.4696780018190742e-05
606.0,1.8847371801619075e-05
607.0,2.074811009496476e-05
608.0,2.2343372591165602e-05
609.0,2.9204455971482296e-05
610.0,3.776747593589168e-05
611.0,4.68202269401682e-05
612.0,5.6231790785535474e-05
613.0,6.692829250778186e-05
614.0,7.898246443956088e-05
615.0,9.25882594679486e-05
616.0,0.00010939912595526874
617.0,0.00012569601729183722
618.0,0.00013829810612960618
619.0,0.0001510262643439746
620.0,0.00015513806554998772
621.0,0.0001591480414902859
622.0,0.00015419739404766867
623.0,0.00014721993893510634
624.0,0.00013456936187556835
625.0,0.00011885432920022814
626.0,0.00010337203998937923
627.0,8.918923512194011e-05
628.0,7.591800882375865e-05
629.0,6.189036626598041e-05
630.0,4.750875968928832e-05
631.0,3.456725329913619e-05
632.0,2.149967753238461e-05
633.0,1.7499399236440246e-05
634.0,1.3717317938456488e-05
635.0,9.83826019693468e-06
636.0,5.8234354344596115e-06
637.0,3.239013214170708e-06
638.0,1.2946355212329028e-06
639.0,4.557892846288122e-07
640.0,6.254980608203913e-07
641.0,1.0182526571494742e-07
642.0,2.3225858227361814e-06
643.0,3.748139542745445e-06
644.0,1.8425524272228578e-06
645.0,1.1152291006875192e-07
646.0,1.4934372304858953e-06
647.0,3.0062697496793994e-06
648.0,2.390469333212813e-06
649.0,1.469193119601384e-06
650.0,2.1480282243677e-06
651.0,3.268106147232122e-06
652.0,4.2960564487354e-06
