wavelength,intensity
0,9.031215262496732e-06
1,9.031215262496732e-06
2,9.031215262496732e-06
3,9.031215262496732e-06
4,9.031215262496732e-06
5,9.031215262496732e-06
6,9.031215262496732e-06
7,9.031215262496732e-06
8,9.031215262496732e-06
9,9.031215262496732e-06
10,9.031215262496732e-06
11,9.031215262496732e-06
12,9.031215262496732e-06
13,9.031215262496732e-06
14,9.031215262496732e-06
15,9.031215262496732e-06
16,9.031215262496732e-06
17,9.031215262496732e-06
18,9.031215262496732e-06
19,9.031215262496732e-06
20,9.031215262496732e-06
21,9.031215262496732e-06
22,9.031215262496732e-06
23,9.031215262496732e-06
24,9.031215262496732e-06
25,9.031215262496732e-06
26,9.031215262496732e-06
27,9.031215262496732e-06
28,9.031215262496732e-06
29,9.031215262496732e-06
30,9.031215262496732e-06
31,9.031215262496732e-06
32,9.031215262496732e-06
33,9.031215262496732e-06
34,9.031215262496732e-06
35,9.031215262496732e-06
36,9.031215262496732e-06
37,9.031215262496732e-06
38,9.031215262496732e-06
39,9.031215262496732e-06
40,9.031215262496732e-06
41,9.031215262496732e-06
42,9.031215262496732e-06
43,9.031215262496732e-06
44,9.031215262496732e-06
45,9.031215262496732e-06
46,9.031215262496732e-06
47,9.031215262496732e-06
48,9.031215262496732e-06
49,9.031215262496732e-06
50,9.031215262496732e-06
51,9.031215262496732e-06
52,9.031215262496732e-06
53,9.031215262496732e-06
54,9.031215262496732e-06
55,9.031215262496732e-06
56,9.031215262496732e-06
57,9.031215262496732e-06
58,9.031215262496732e-06
59,9.031215262496732e-06
60,9.031215262496732e-06
61,9.031215262496732e-06
62,9.031215262496732e-06
63,9.031215262496732e-06
64,9.031215262496732e-06
65,9.031215262496732e-06
66,9.031215262496732e-06
67,9.031215262496732e-06
68,9.031215262496732e-06
69,9.031215262496732e-06
70,9.031215262496732e-06
71,9.031215262496732e-06
72,9.031215262496732e-06
73,9.031215262496732e-06
74,9.031215262496732e-06
75,9.031215262496732e-06
76,9.031215262496732e-06
77,9.031215262496732e-06
78,9.031215262496732e-06
79,9.031215262496732e-06
80,9.031215262496732e-06
81,9.031215262496732e-06
82,9.031215262496732e-06
83,9.031215262496732e-06
84,9.031215262496732e-06
85,9.031215262496732e-06
86,9.031215262496732e-06
87,9.031215262496732e-06
88,9.031215262496732e-06
89,9.031215262496732e-06
90,9.031215262496732e-06
91,9.031215262496732e-06
92,9.031215262496732e-06
93,9.031215262496732e-06
94,9.031215262496732e-06
95,9.031215262496732e-06
96,9.031215262496732e-06
97,9.031215262496732e-06
98,9.031215262496732e-06
99,9.031215262496732e-06
100,9.031215262496732e-06
101,9.031215262496732e-06
102,9.031215262496732e-06
103,9.031215262496732e-06
104,9.031215262496732e-06
105,9.031215262496732e-06
106,9.031215262496732e-06
107,9.031215262496732e-06
108,9.031215262496732e-06
109,9.031215262496732e-06
110,9.031215262496732e-06
111,9.031215262496732e-06
112,9.031215262496732e-06
113,9.031215262496732e-06
114,9.031215262496732e-06
115,9.031215262496732e-06
116,9.031215262496732e-06
117,9.031215262496732e-06
118,9.031215262496732e-06
119,9.031215262496732e-06
120,9.031215262496732e-06
121,9.031215262496732e-06
122,9.031215262496732e-06
123,9.031215262496732e-06
124,9.031215262496732e-06
125,9.031215262496732e-06
126,9.031215262496732e-06
127,9.031215262496732e-06
128,9.031215262496732e-06
129,9.031215262496732e-06
130,9.031215262496732e-06
131,9.031215262496732e-06
132,9.031215262496732e-06
133,9.031215262496732e-06
134,9.031215262496732e-06
135,9.031215262496732e-06
136,9.031215262496732e-06
137,9.031215262496732e-06
138,9.031215262496732e-06
139,9.031215262496732e-06
140,9.031215262496732e-06
141,9.031215262496732e-06
142,9.031215262496732e-06
143,9.031215262496732e-06
144,9.031215262496732e-06
145,9.031215262496732e-06
146,9.031215262496732e-06
147,9.031215262496732e-06
148,9.031215262496732e-06
149,9.031215262496732e-06
150,9.031215262496732e-06
151,9.031215262496732e-06
152,9.031215262496732e-06
153,9.031215262496732e-06
154,9.031215262496732e-06
155,9.031215262496732e-06
156,9.031215262496732e-06
157,9.031215262496732e-06
158,9.031215262496732e-06
159,9.031215262496732e-06
160,9.031215262496732e-06
161,9.031215262496732e-06
162,9.031215262496732e-06
163,9.031215262496732e-06
164,9.031215262496732e-06
165,9.031215262496732e-06
166,9.031215262496732e-06
167,9.031215262496732e-06
168,9.031215262496732e-06
169,9.031215262496732e-06
170,9.031215262496732e-06
171,9.031215262496732e-06
172,9.031215262496732e-06
173,9.031215262496732e-06
174,9.031215262496732e-06
175,9.031215262496732e-06
176,9.031215262496732e-06
177,9.031215262496732e-06
178,9.031215262496732e-06
179,9.031215262496732e-06
180,9.031215262496732e-06
181,9.031215262496732e-06
182,9.031215262496732e-06
183,9.031215262496732e-06
184,9.031215262496732e-06
185,9.031215262496732e-06
186,9.031215262496732e-06
187,9.031215262496732e-06
188,9.031215262496732e-06
189,9.031215262496732e-06
190,9.031215262496732e-06
191,9.031215262496732e-06
192,9.031215262496732e-06
193,9.031215262496732e-06
194,9.031215262496732e-06
195,9.031215262496732e-06
196,9.031215262496732e-06
197,9.031215262496732e-06
198,9.031215262496732e-06
199,9.031215262496732e-06
200,9.031215262496732e-06
201,9.031215262496732e-06
202,9.031215262496732e-06
203,9.031215262496732e-06
204,9.031215262496732e-06
205,9.031215262496732e-06
206,9.031215262496732e-06
207,9.031215262496732e-06
208,9.031215262496732e-06
209,9.031215262496732e-06
210,9.031215262496732e-06
211,9.031215262496732e-06
212,9.031215262496732e-06
213,9.031215262496732e-06
214,9.031215262496732e-06
215,9.031215262496732e-06
216,9.031215262496732e-06
217,9.031215262496732e-06
218,9.031215262496732e-06
219,9.031215262496732e-06
220,9.031215262496732e-06
221,9.031215262496732e-06
222,9.031215262496732e-06
223,9.031215262496732e-06
224,9.031215262496732e-06
225,9.031215262496732e-06
226,9.031215262496732e-06
227,9.031215262496732e-06
228,9.031215262496732e-06
229,9.031215262496732e-06
230,9.031215262496732e-06
231,9.031215262496732e-06
232,9.031215262496732e-06
233,9.031215262496732e-06
234,9.031215262496732e-06
235,9.031215262496732e-06
236,9.031215262496732e-06
237,9.031215262496732e-06
238,9.031215262496732e-06
239,9.031215262496732e-06
240,9.031215262496732e-06
241,9.031215262496732e-06
242,9.031215262496732e-06
243,9.031215262496732e-06
244,9.031215262496732e-06
245,9.031215262496732e-06
246,9.031215262496732e-06
247,9.031215262496732e-06
248,9.031215262496732e-06
249,9.031215262496732e-06
250,9.031215262496732e-06
251,9.031215262496732e-06
252,9.031215262496732e-06
253,9.031215262496732e-06
254,9.031215262496732e-06
255,9.031215262496732e-06
256,9.031215262496732e-06
257,9.031215262496732e-06
258,9.031215262496732e-06
259,9.031215262496732e-06
260,9.031215262496732e-06
261,9.031215262496732e-06
262,9.031215262496732e-06
263,9.031215262496732e-06
264,9.031215262496732e-06
265,9.031215262496732e-06
266,9.031215262496732e-06
267,9.031215262496732e-06
268,9.031215262496732e-06
269,9.031215262496732e-06
270,9.031215262496732e-06
271,9.031215262496732e-06
272,9.031215262496732e-06
273,9.031215262496732e-06
274,9.031215262496732e-06
275,9.031215262496732e-06
276,9.031215262496732e-06
277,9.031215262496732e-06
278,9.031215262496732e-06
279,9.031215262496732e-06
280,9.031215262496732e-06
281,9.031215262496732e-06
282,9.031215262496732e-06
283,9.031215262496732e-06
284,9.031215262496732e-06
285,9.031215262496732e-06
286,9.031215262496732e-06
287,9.031215262496732e-06
288,9.031215262496732e-06
289,9.031215262496732e-06
290,9.031215262496732e-06
291,9.031215262496732e-06
292,9.031215262496732e-06
293,9.031215262496732e-06
294,9.031215262496732e-06
295,9.031215262496732e-06
296,9.031215262496732e-06
297,9.031215262496732e-06
298,9.031215262496732e-06
299,9.031215262496732e-06
300,9.031215262496732e-06
301,9.031215262496732e-06
302,9.031215262496732e-06
