wavelength,intensity
195.1115,0.0
195.5936,1.3402328752200564e-05
196.0757,4.2604171208529505e-05
196.5579,7.750570715736352e-05
197.04,0.00010576551559234172
197.5221,0.00012680421560036823
198.0042,0.00014358540729596573
198.4863,0.00015884183836981452
198.9684,0.0001730802107394009
199.4506,0.0001805727562318156
199.9327,0.00017925222800015806
200.4148,0.00016981031052796337
200.8969,0.0001523333128499804
201.379,0.00012561363580305165
201.8611,9.828688621957475e-05
202.3433,7.671195496700462e-05
202.8254,6.460556122038037e-05
203.3075,5.7438614137144684e-05
203.7896,4.9146109961984674e-05
204.2717,4.210756938763771e-05
204.7538,3.675711231242403e-05
205.236,3.253866126262995e-05
205.7181,2.7681848226780157e-05
206.2002,2.2086055295881753e-05
206.6823,1.5286634387188725e-05
207.1644,1.0597032984109407e-05
207.6465,9.289533537641182e-06
208.1287,9.436913487708127e-06
208.6108,7.987653876075989e-06
209.0929,4.496938302702284e-06
209.575,5.652611429167344e-07
210.0571,3.2006832748622954e-06
210.5392,7.178826697569099e-06
211.0214,9.110185302961922e-06
211.5035,8.121718960445158e-06
211.9856,5.1385538484386975e-06
212.4677,3.3095926697776974e-06
212.9498,2.8189112607638962e-06
213.4319,2.8656684530157647e-06
213.914,3.1204837560563323e-06
214.3962,3.844669894643215e-06
214.8783,3.512317076171804e-06
215.3604,1.5081534057927937e-06
215.8425,1.6108466106774065e-06
216.3246,3.231759376194062e-06
216.8067,2.717696946643239e-06
217.2889,1.959181147043888e-06
217.771,2.366700406901638e-06
218.2531,4.7878579356720655e-06
218.7352,5.4167453231941115e-06
219.2173,2.313727024618981e-06
219.6994,2.9032565225311115e-06
220.1816,1.9846326146504476e-06
220.6637,7.751782921280577e-06
221.1458,1.8861399444176853e-05
221.6279,2.6624131005932876e-05
222.11,3.0223751125399805e-05
222.5921,3.270705600801159e-05
223.0743,3.391245865472296e-05
223.5564,3.4191241685783954e-05
224.0385,3.5468848143531576e-05
224.5206,3.8438693541018086e-05
225.0027,4.1318569043012173e-05
225.4848,4.308715753674857e-05
225.967,4.3686457411347156e-05
226.4491,4.333605242791113e-05
226.9312,4.155000332551572e-05
227.4133,3.8831123266261315e-05
227.8954,3.7634012105472446e-05
228.3775,3.8605017839330186e-05
228.8597,4.016703681068619e-05
229.3418,4.119782367316296e-05
229.8239,4.085304332345214e-05
230.306,4.189478367522653e-05
230.7881,4.486729107608816e-05
231.2702,4.936037941398198e-05
231.7524,5.351994151843759e-05
232.2345,5.765288358914199e-05
232.7166,6.076000884010096e-05
233.1987,6.16958315202431e-05
233.6808,5.8097956976759856e-05
234.1629,5.746465231223465e-05
234.6451,6.117967439951185e-05
235.1272,6.823480764334817e-05
235.6093,7.467137664207708e-05
236.0914,8.140095996495619e-05
236.5735,8.627669310494025e-05
237.0556,8.740962040657345e-05
237.5378,8.113165638125103e-05
238.0199,7.935063550745306e-05
238.502,8.389757001562137e-05
238.9841,9.352510040074789e-05
239.4662,0.00010288061186175018
239.9483,0.00011184045943311726
240.4305,0.00012091483618430275
240.9126,0.00013078204384963353
241.3947,0.00014286652092001818
241.8768,0.0001525973312175127
242.3589,0.0001584890865564449
242.841,0.00016195967951778442
243.3232,0.00016815240124923693
243.8053,0.00017727589656907442
244.2874,0.00018877938776622264
244.7695,0.0002025963490004145
245.2516,0.0002204183888645058
245.7337,0.00023664434193262622
246.2159,0.0002499401517592446
246.698,0.00026164079606610566
247.1801,0.0002761129786410623
247.6622,0.00029558255130442146
248.1443,0.00031457475742446465
248.6264,0.0003291632147552233
249.1086,0.0003338987199578514
249.5907,0.00034775796292142583
250.0728,0.0003737532259351253
250.5549,0.00040828896189011165
251.037,0.00044206464496886856
251.5191,0.00047527689491066945
252.0013,0.0005076328913442511
252.4834,0.0005395512330881456
252.9655,0.0005710792446467995
253.4476,0.0006008374361108841
253.9297,0.0006271946637000892
254.4118,0.0006524386017174778
254.894,0.000683343054744182
255.3761,0.0007246550196913893
255.8582,0.0007633655915406885
256.3403,0.0007938690469733628
256.8224,0.0008148397180062475
257.3046,0.0008318304757963307
257.7867,0.0008457000467511419
258.2688,0.0008547896488039628
258.7509,0.0008546315772009959
259.233,0.0008412047037109358
259.7151,0.0008265447747412895
260.1973,0.0008141545794326511
260.6794,0.000803359161737996
261.1615,0.0007985166430299238
261.6436,0.0008003587105749289
262.1257,0.0008075965474383909
262.6078,0.0008190266759560026
263.09,0.0008366516596868246
263.5721,0.0008537321206871805
264.0542,0.0008683784729547314
264.5363,0.0008811236020467189
265.0184,0.0008899857943394432
265.5005,0.0008961253729798368
265.9827,0.0008975388046444039
266.4648,0.0008914161968816295
266.9469,0.0008775170481115391
267.429,0.0008565071016190216
267.9111,0.0008269346200443124
268.3932,0.0007883176304630275
268.8754,0.0007492356388349777
269.3575,0.0007082272101560444
269.8396,0.0006694642710272347
270.3217,0.0006392255612854192
270.8038,0.0006190316715652743
271.2859,0.0006007409445495637
271.7681,0.0005810556962757759
272.2502,0.000560248430550253
272.7323,0.0005481035856437658
273.2144,0.000546508323147565
273.6965,0.0005502550080436574
274.1786,0.0005536511230963597
274.6608,0.0005560653516582393
275.1429,0.0005617884164736371
275.625,0.0005715728547444081
276.1071,0.0005854075141795456
276.5892,0.0006042839789142261
277.0714,0.0006283108625652122
277.5535,0.0006561280705118828
278.0356,0.0006865272762677537
278.5177,0.0007194231405625118
278.9998,0.0007556894211524345
279.4819,0.0007960098019644653
279.9641,0.0008398247289193893
280.4462,0.0008827474725937636
280.9283,0.0009244711025437897
281.4104,0.0009671194028829513
281.8925,0.001016055170938902
282.3746,0.001071517453644963
282.8568,0.0011178435856053048
283.3389,0.001153055732253969
283.821,0.0011772979036096098
284.3031,0.0011912115988462306
284.7852,0.0011951347808695622
285.2673,0.001187559465982588
285.7495,0.0011670222796523184
286.2316,0.0011338485778468238
286.7137,0.001091056752371226
287.1958,0.0010387146867360017
287.6779,0.0009768597168719126
288.16,0.0009009567393969024
288.6422,0.000810839439710303
289.1243,0.0007220061081361476
289.6064,0.0006440651707001853
290.0885,0.0005759455225835386
290.5706,0.0005172544091898782
291.0527,0.00046875479268874
291.5349,0.00042774728528602047
292.017,0.00039071726671501385
292.4991,0.0003578744000466494
292.9812,0.0003284798702458325
293.4633,0.00030272763019963936
293.9454,0.0002803287385945482
294.4276,0.0002608822463247511
294.9097,0.0002446314187988632
295.3918,0.00023096302547617162
295.8739,0.00022069865078633074
296.356,0.00021311378371966785
296.8381,0.00020426904718678048
297.3203,0.00019028223171173176
297.8024,0.0001742518801302276
298.2845,0.0001630223958742961
298.7666,0.0001570383189611157
299.2487,0.00015245734572126555
299.7308,0.0001455993170989203
300.213,0.00013695910388545463
300.6951,0.00012803921060882523
301.1772,0.00011911252898114817
301.6593,0.00011041902721195836
302.1414,0.00010212089840307314
302.6235,9.426823088757993e-05
303.1057,8.694350313070784e-05
303.5878,8.043497761087372e-05
304.0699,7.452872429363261e-05
304.552,6.896814350938287e-05
305.0341,6.398321489397497e-05
305.5162,5.904856856454154e-05
305.9984,5.354627062285817e-05
306.4805,4.7563677449263914e-05
306.9626,4.1386045252425945e-05
307.4447,3.4345133604034476e-05
307.9268,2.7529139421140797e-05
308.4089,2.2455991335046334e-05
308.8911,1.9745102134739466e-05
309.3732,1.851839376338279e-05
309.8553,1.9657794242622163e-05
310.3374,2.2123638516574922e-05
310.8195,2.240360466024708e-05
311.3016,1.5748314990762473e-05
311.7838,7.402856828608514e-06
312.2659,2.0580243871200403e-06
312.748,1.2110224316144003e-06
313.2301,2.0586207922477996e-06
313.7122,2.992334234742982e-06
314.1943,4.392174650748134e-06
314.6765,7.029667229763232e-06
315.1586,1.3706563250868117e-05
315.6407,2.000672033529423e-05
316.1228,2.286173592598734e-05
316.6049,2.1174825841820863e-05
317.087,1.9025648446597238e-05
317.5692,1.7144601220111955e-05
318.0513,1.614073986718353e-05
318.5334,1.6882090836276643e-05
319.0155,2.2928620579095525e-05
319.4976,2.797868827162794e-05
319.9797,2.792482270606473e-05
320.4619,2.189339219550472e-05
320.944,1.8569592476748697e-05
321.4261,2.2629710087178212e-05
321.9082,2.965582797910795e-05
322.3903,3.5449021309650224e-05
322.8724,3.800394814463703e-05
323.3546,4.028363643757415e-05
323.8367,4.2920838087258645e-05
324.3188,4.591879695572683e-05
324.8009,4.9076868781298505e-05
325.283,5.06092905420867e-05
325.7651,5.3373458600473364e-05
326.2473,5.923558763590466e-05
326.7294,7.270716726643574e-05
327.2115,8.441372713635264e-05
327.6936,9.256503360972124e-05
328.1757,9.795425701823926e-05
328.6578,0.0001047794106262251
329.14,0.00011660583338035501
329.6221,0.0001270871443743905
330.1042,0.0001335808324983633
330.5863,0.0001340449132689146
331.0684,0.00013402774843840839
331.5505,0.00013498214210748804
332.0327,0.0001351280916550128
332.5148,0.000130151115107975
332.9969,0.00011581387525420158
333.479,0.00010175898231578915
333.9611,9.138361808631901e-05
334.4432,8.601956006489913e-05
334.9254,7.835745126095818e-05
335.4075,6.72960756698999e-05
335.8896,5.477001636386475e-05
336.3717,4.320287467800034e-05
336.8538,3.2233835207656814e-05
337.3359,2.323522130298541e-05
337.818,1.687528793876245e-05
338.3001,1.315254652657962e-05
338.7823,1.0409107182999208e-05
339.2644,9.024656928583543e-06
339.7465,8.066374504117996e-06
340.2286,6.749701086091072e-06
340.7107,5.148620003277947e-06
341.1928,3.305155997485832e-06
341.675,1.6774354856328053e-06
342.1571,2.1308149056396968e-07
342.6392,5.434802336980895e-06
343.1213,1.4923210316207723e-05
343.6034,2.28114245470798e-05
344.0855,2.3250019908269317e-05
344.5677,1.6641191652883785e-05
345.0498,1.3787950731107422e-05
345.5319,1.7272745892603128e-05
346.014,2.2954072046702088e-05
346.4961,2.2311860095837915e-05
346.9782,1.5589685773245115e-05
347.4604,8.377712527274714e-06
347.9425,4.045619632120575e-06
348.4246,1.8334026997750432e-06
348.9067,1.002081835189505e-06
349.3888,4.7914072735055575e-06
349.8709,8.29100104028517e-06
350.3531,8.924034170768467e-06
350.8352,7.66270036024653e-06
351.3173,8.111361876275296e-06
351.7994,1.2752130791211031e-05
352.2815,1.9745102134739466e-05
352.7636,2.613433693137745e-05
353.2458,3.18858012982653e-05
353.7279,3.764673541486464e-05
354.21,4.448403532240363e-05
354.6921,5.158385531142228e-05
355.1742,5.7585097055108896e-05
355.6563,6.241849997748861e-05
356.1385,6.564733066508782e-05
356.6206,6.573402760561084e-05
357.1027,6.335403172830014e-05
357.5848,6.189856077545938e-05
358.0669,6.560529137681408e-05
358.549,7.010994415559981e-05
359.0312,7.072904177114669e-05
359.5133,6.470297405791434e-05
359.9954,5.9054775056927974e-05
360.4775,5.892453569325638e-05
360.9596,6.220427901371307e-05
361.4417,6.454611466049155e-05
361.9239,6.25946091989537e-05
362.406,6.0134074385284645e-05
362.8881,5.88227589157632e-05
363.3702,5.872151550870948e-05
363.8523,6.20204601649867e-05
364.3344,7.22836711375051e-05
364.8166,8.504795307709144e-05
365.2987,9.542506288254528e-05
365.7808,9.80687861980577e-05
366.2629,0.00010200636922325471
366.745,0.00011045869057736541
367.2271,0.00012378257508438803
367.7093,0.00013645065639198464
368.1914,0.0001460275650735843
368.6735,0.00015485954920414646
369.1556,0.00016495436058246103
369.6377,0.00017811163955948532
370.1198,0.0001905024167267849
370.602,0.00020355583393277989
371.0841,0.0002164420152618936
371.5662,0.00022454657908947687
372.0483,0.00022686741933622938
372.5304,0.00022427756643510232
373.0125,0.00021723634931091368
373.4947,0.0002050281787867963
373.9768,0.00019024315020498594
374.4589,0.00017188754594854827
374.941,0.00015162039052531046
375.4231,0.00013200729272551496
375.9052,0.00011255192711113411
376.3874,9.501368880905689e-05
376.8695,7.983420854315552e-05
377.3516,6.694240258031665e-05
377.8337,5.811691587147154e-05
378.3158,5.3960311548543845e-05
378.7979,5.206951334066081e-05
379.2801,5.111356804848453e-05
379.7622,5.128196764268835e-05
380.2443,4.842814486225075e-05
380.7264,4.0140397381646284e-05
381.2085,2.9637480035990553e-05
381.6906,2.5787481285774925e-05
382.1728,2.863213979229817e-05
382.6549,3.3870729691068534e-05
383.137,3.955471784854262e-05
383.6191,4.5341694989054104e-05
384.1012,4.948998843077058e-05
384.5833,5.149148524895229e-05
385.0655,5.286472017767278e-05
385.5476,5.567000624811958e-05
386.0297,5.9575053676509585e-05
386.5118,6.326995315175264e-05
386.9939,6.588114087045805e-05
387.476,6.806757176646681e-05
387.9582,7.064588447081282e-05
388.4403,7.36914781683469e-05
388.9224,7.747758398873749e-05
389.4045,8.392957224198894e-05
389.8866,9.084559277756994e-05
390.3687,9.494978133276531e-05
390.8509,9.248599780823775e-05
391.333,8.981269667744623e-05
391.8151,9.265531867865517e-05
392.2972,9.959204368493153e-05
392.7793,0.00010479924230892864
393.2614,0.0001017983547518656
393.7436,9.824930784770375e-05
394.2257,0.00010018835183624698
394.7078,0.00011106891484832856
395.1899,0.00012144694592999601
395.672,0.00012627031179046952
396.1541,0.00012871663955516026
396.6363,0.00013391554669323484
397.1184,0.0001456096935783789
397.6005,0.00015787823193859872
398.0826,0.00016784668301098323
398.5647,0.0001746890014494753
399.0468,0.00018523305620247988
399.529,0.00020578963782145703
400.0111,0.000227095265490322
400.4932,0.00024156744806527863
400.9753,0.000244498561071216
401.4574,0.00024631565718201013
401.9395,0.0002489727147585091
402.4217,0.0002522124552960063
402.9038,0.0002526152469542416
403.3859,0.00025034502841101596
403.868,0.00024400310842118014
404.3501,0.00023264847606486284
404.8322,0.00021504691214515527
405.3144,0.0001985158226974424
405.7965,0.0001828663460979339
406.2786,0.0001682003076123447
406.7607,0.00015432593632357837
407.2428,0.0001405572693582685
407.7249,0.00013078917161823356
408.2071,0.00012781873466444148
408.6892,0.00013028751247581128
409.1713,0.00012898507035087356
409.6534,0.00012320575919822378
410.1355,0.0001176528880412353
410.6176,0.00011769167861865051
411.0998,0.0001222238242191793
411.5819,0.00012515668280110037
412.064,0.0001257035814544332
412.5461,0.00012341590715137071
413.0282,0.00011674790387013827
413.5103,0.00010616622225704092
413.9925,9.442445993811972e-05
414.4746,8.235423840493518e-05
414.9567,7.026854912900629e-05
415.4388,5.857624479628949e-05
415.9209,4.712360319731044e-05
416.403,3.689502736160166e-05
416.8852,2.9328212459903374e-05
417.3673,2.3348867997167646e-05
417.8494,1.7172418912940843e-05
418.3315,8.39576469223932e-06
418.8136,6.283006800386407e-07
419.2957,2.917167793356644e-06
419.7779,2.8384423164924586e-06
420.26,3.4439535322996586e-06
420.7421,7.727810344437972e-06
421.2242,1.273614907331596e-05
421.7063,1.6244029477195897e-05
422.1884,1.741894273005891e-05
422.6706,1.791998607206475e-05
423.1527,1.7213556320289683e-05
423.6348,1.6192830763829986e-05
424.1169,1.6530507589051638e-05
424.599,2.2345006644239216e-05
425.0811,2.5890475117634503e-05
425.5633,2.3862338870412887e-05
426.0454,1.5219749734080535e-05
426.5275,8.70532804647929e-06
427.0096,4.43272050179139e-06
427.4917,2.239443068868838e-06
427.9738,2.6481502901599298e-06
428.456,9.225310887908111e-06
428.9381,1.0679307798807084e-05
429.4202,3.1568838641383376e-06
429.9023,9.732861349275357e-06
430.3844,1.542188258416906e-05
430.8665,1.1738503910418323e-05
431.3487,6.869854899634711e-06
431.8308,4.22230101460254e-06
432.3129,3.7591415202648363e-06
432.795,6.864230265909504e-06
433.2771,1.4366235810391314e-05
433.7592,2.3354192003917885e-05
434.2414,2.9933723675710573e-05
434.7235,3.4370880849793826e-05
435.2056,3.955442207038982e-05
435.6877,4.6167686998067226e-05
436.1698,5.427373941405881e-05
436.6519,6.478225230050669e-05
437.1341,7.760365336533694e-05
437.6162,9.05087935891623e-05
438.0983,0.0001017486058363306
438.5804,0.00011215684508016012
439.0625,0.00012282934513263083
439.5446,0.00013358233563323812
440.0268,0.0001459056171958352
440.5089,0.00016230326705723975
440.991,0.0001812877635500216
441.4731,0.00019950634009174
441.9552,0.00021613896387583721
442.4373,0.00023114296526715645
442.9195,0.00024306733422925982
443.4016,0.00025206209332030054
443.8837,0.00026415811058746623
444.3658,0.0002814817400199938
444.8479,0.0003031165057382269
445.33,0.00032815315660755285
445.8122,0.00035819282219900654
446.2943,0.00038947785927837583
446.7764,0.0004218250308555956
447.2585,0.0004550837325138511
447.7406,0.0004888907389838708
448.2227,0.0005230468121624058
448.7049,0.0005579932433557758
449.187,0.0005946212460800952
449.6691,0.0006330714361784949
450.1512,0.0006710251068859796
450.6333,0.000710173527377853
451.1154,0.0007466027283929197
451.5976,0.0007764496533028415
452.0797,0.0007986955645682514
452.5618,0.0008180011500655877
453.0439,0.0008383603846219649
453.526,0.0008545413891085054
454.0081,0.0008496993552826509
454.4903,0.0008219941551282667
454.9724,0.0007849627303988288
455.4545,0.0007431901273448159
455.9366,0.0006976354429928191
456.4187,0.0006511827567736602
456.9008,0.0006035149557169694
457.383,0.0005588699104053596
457.8651,0.0005236650369899608
458.3472,0.0004962585242816738
458.8293,0.0004730851303102661
459.3114,0.0004519108572341734
459.7935,0.00043504238673939166
460.2757,0.0004258061563039412
460.7578,0.0004235628487237973
461.2399,0.000424923040320862
461.722,0.0004289603636182379
462.2041,0.00043495418666399376
462.6862,0.0004421587606073223
463.1684,0.000450377853614724
463.6505,0.00046021107103659466
464.1326,0.0004710859609267293
464.6147,0.00048394911035050267
465.0968,0.000500290319921768
465.5789,0.0005212474142525572
466.0611,0.0005446740137180429
466.5432,0.0005697521220169813
467.0253,0.0005966126573481491
467.5074,0.0006273638875940633
467.9895,0.0006617750088191031
468.4716,0.0007006872916709614
468.9538,0.0007442665658680882
469.4359,0.0007919406703936089
469.918,0.0008448544121634902
470.4001,0.0009080689917659825
470.8822,0.000973499967985537
471.3643,0.0010288468487237878
471.8465,0.001071166883801573
472.3286,0.0011120623349237843
472.8107,0.0011562574095373777
473.2928,0.001201242842165806
473.7749,0.0012372933501688566
474.257,0.001264744472041171
474.7392,0.0012799736527343856
475.2213,0.0012794873158700423
475.7034,0.0012639987231903636
476.1855,0.0012382301426134342
476.6676,0.0012024366221857594
477.1497,0.0011562200736066155
477.6319,0.001095424086505962
478.114,0.001023430714352188
478.5961,0.0009517573644620896
479.0782,0.0008831508945988819
479.5603,0.0008190315247781795
480.0424,0.0007605673362623982
480.5246,0.000707703537360939
