wavelength,intensity
206.0,0.0
207.0,9.775225508634951e-06
208.0,4.8488221769022574e-09
209.0,3.605099288526828e-05
210.0,7.224745043584364e-05
211.0,9.239430658087252e-05
212.0,0.00011258480212549353
213.0,0.00011529044490020498
214.0,0.0001077941658147141
215.0,0.00010458909435578169
216.0,0.0001159692800049713
217.0,0.00012829983480083372
218.0,0.00012152603021970127
219.0,0.0001138309494249574
220.0,0.00010492366308598794
221.0,9.148757683379179e-05
222.0,7.923945201493669e-05
223.0,7.918126614881386e-05
224.0,7.687322679260838e-05
225.0,6.425659148830872e-05
226.0,4.727116740262011e-05
227.0,3.400963874879244e-05
228.0,2.766253051922738e-05
229.0,2.0689924228841935e-05
230.0,1.5041046392750802e-05
231.0,8.72303109624716e-06
232.0,4.354242314858227e-06
233.0,7.030792156508273e-07
234.0,2.5941198646427078e-06
235.0,3.777232475806859e-06
236.0,5.828284256636513e-06
237.0,4.931252153909596e-06
238.0,4.315451737443009e-06
239.0,4.174835894312843e-06
240.0,4.3930328922734455e-06
241.0,3.5008496117234297e-06
242.0,3.447512567777505e-06
243.0,9.726737286865928e-06
244.0,1.7256958127595135e-05
245.0,2.4578679614717544e-05
246.0,3.967306305141427e-05
247.0,6.398990626857909e-05
248.0,8.840857475145887e-05
249.0,0.00011974651248077815
250.0,0.0001505559285928151
251.0,0.00020151704967205782
252.0,0.0002600859727468602
253.0,0.00033286679362216307
254.0,0.0004281267541095848
255.0,0.0005249431865157922
256.0,0.0006489954530896595
257.0,0.0007739641470549614
258.0,0.0008878775264569261
259.0,0.0009961565744893305
260.0,0.001080909137319405
261.0,0.0011103657320440862
262.0,0.0011405981383170718
263.0,0.0010837311518263621
264.0,0.0010228299452844697
265.0,0.0009345038005100183
266.0,0.0008278054685072841
267.0,0.0007229254448208883
268.0,0.0006219244788760143
269.0,0.0005216702315463832
270.0,0.0004352351274209235
271.0,0.00035207782708704985
272.0,0.0002840827937003495
273.0,0.00022922806841305421
274.0,0.0001783105867334036
275.0,0.00014395668161005113
276.0,0.00010972884586329808
277.0,8.278394102625224e-05
278.0,5.677970769152544e-05
279.0,3.530427427002534e-05
280.0,1.8760093002434835e-05
281.0,5.416134371599821e-06
282.0,6.570154049702559e-06
283.0,7.617499639913446e-06
284.0,3.39417552383158e-06
285.0,2.1383305800138955e-06
286.0,5.901016589290048e-06
287.0,7.77751077175122e-06
288.0,9.460052067136304e-06
289.0,6.33741058521125e-06
290.0,3.6996513209764227e-06
291.0,1.5079836970166021e-06
292.0,2.618363975527219e-07
293.0,3.4911519673696253e-06
294.0,8.558171142232484e-06
295.0,1.2766948791783644e-05
296.0,1.2965750501036636e-05
297.0,1.2771797613960546e-05
298.0,1.5395010411664668e-05
299.0,1.849340778270521e-05
300.0,2.1174806446532157e-05
301.0,2.3177370005592793e-05
302.0,2.4147134440973244e-05
303.0,2.7289171211605907e-05
304.0,2.8758364331207288e-05
305.0,2.8850491952568434e-05
306.0,2.8632294954607833e-05
307.0,2.8385005023585816e-05
308.0,2.7914669272426295e-05
309.0,2.779344871800374e-05
310.0,2.8365609734878205e-05
311.0,2.9122025994474958e-05
312.0,2.760434465310455e-05
313.0,2.500537596628494e-05
314.0,2.3419811114437904e-05
315.0,2.3114335317293062e-05
316.0,2.2202756748035436e-05
317.0,1.767880565698563e-05
318.0,1.3198493965527945e-05
319.0,1.5826555585408968e-05
320.0,2.023413494421312e-05
321.0,2.0709319517549542e-05
322.0,1.7024214663103826e-05
323.0,1.3707620294102682e-05
324.0,1.2151148375317056e-05
325.0,1.054618823476241e-05
326.0,1.0628618211769749e-05
327.0,1.108440749639856e-05
328.0,9.620063198974079e-06
329.0,6.511968183579731e-06
330.0,3.689953676622618e-06
331.0,3.99542947376746e-06
332.0,4.5045558023421975e-06
333.0,6.196794742081085e-06
334.0,7.32657030929931e-06
335.0,6.531363472287341e-06
336.0,4.625776356764753e-06
337.0,3.20022263675549e-06
338.0,3.2438620363476104e-06
339.0,3.0062697496793994e-06
340.0,4.567590490641927e-06
341.0,6.172550631196574e-06
342.0,4.009975940298167e-06
343.0,3.297199080293535e-07
344.0,1.5322278079011133e-06
345.0,4.073010628597896e-06
346.0,8.950925738561567e-06
347.0,3.2826526137628284e-06
348.0,2.5165387098122717e-06
349.0,1.1831126111641508e-06
350.0,3.3359896577087527e-06
351.0,6.33741058521125e-06
352.0,6.604095804940875e-06
353.0,6.511968183579731e-06
354.0,1.0080701305779794e-05
355.0,1.3474876829611373e-05
356.0,1.0255258904148276e-05
357.0,5.125205040985686e-06
358.0,2.7929215738957003e-06
359.0,3.3311408355318513e-06
360.0,4.40273053662725e-06
361.0,1.1142593362521387e-05
362.0,1.791154912147694e-05
363.0,1.5278638679419012e-05
364.0,9.978876040064844e-06
365.0,6.342259407388153e-06
366.0,4.2960564487354e-06
367.0,4.756694555541115e-06
368.0,1.1428673870958622e-05
369.0,1.7276353416302746e-05
370.0,1.679632002078942e-05
371.0,1.6612064778067136e-05
372.0,1.9836531525707137e-05
373.0,2.29882659406936e-05
374.0,2.3128881783823767e-05
375.0,2.1281480534424008e-05
376.0,1.967167157169246e-05
377.0,1.692723821956578e-05
378.0,1.394036375859399e-05
379.0,1.2412984772869779e-05
380.0,1.0681955255715673e-05
381.0,8.63575229706292e-06
382.0,6.196794742081085e-06
383.0,4.456067580573175e-06
384.0,6.521665827933536e-06
385.0,8.57271760876319e-06
386.0,2.9141421283182567e-06
387.0,3.578430766553866e-06
388.0,3.69480249879952e-06
389.0,1.0182526571494742e-07
390.0,1.8183083163383466e-06
391.0,6.448933495280003e-07
392.0,2.9529327057334747e-06
393.0,3.2050714589323923e-06
394.0,3.466907856485114e-06
395.0,5.236727951054438e-07
396.0,3.4911519673696253e-06
397.0,9.527935577612936e-06
398.0,1.7727293878754653e-05
399.0,2.4753237213086025e-05
400.0,2.753646114262792e-05
401.0,3.0838509045098356e-05
402.0,4.543346379757415e-05
403.0,5.934958344528363e-05
404.0,7.26111120991113e-05
405.0,8.727395036206372e-05
406.0,9.993907388813244e-05
407.0,0.00010710078424341706
408.0,0.0001149219344147604
409.0,0.00013322138931038953
410.0,0.0001520639122898317
411.0,0.00016183913779846667
412.0,0.0001694857303714415
413.0,0.0001776269028064604
414.0,0.00018627720157005404
415.0,0.00019238671751295087
416.0,0.00018939014540762526
417.0,0.00018701907136312008
418.0,0.0001811132059516531
419.0,0.0001756970715800533
420.0,0.00016643582122217
421.0,0.00015574416832210048
422.0,0.00014556649057278267
423.0,0.0001358979391520396
424.0,0.0001254341808942845
425.0,0.00010821116452192768
426.0,9.144393743419968e-05
427.0,7.890003446255353e-05
428.0,6.719012890533458e-05
429.0,5.715306699914691e-05
430.0,4.868217465609866e-05
431.0,4.311087797483797e-05
432.0,3.861601981684958e-05
433.0,3.2588933850960076e-05
434.0,2.1785758040821844e-05
435.0,1.0924396364560787e-05
436.0,8.946076916384664e-06
437.0,9.140029803460756e-06
438.0,8.412706476925418e-06
439.0,6.575002871879461e-06
440.0,4.533648735403611e-06
441.0,2.1771211574291135e-06
442.0,3.879057741521806e-07
443.0,9.649156132035493e-07
444.0,2.240155845728843e-06
445.0,1.5661695631394292e-06
446.0,7.248989154468876e-06
447.0,7.889033681819973e-06
448.0,3.782081297983761e-06
449.0,5.867074834051731e-07
450.0,6.982303934739251e-07
451.0,1.677692473208181e-06
452.0,2.337132289266888e-06
453.0,2.6668521972962417e-06
454.0,4.2524170491432795e-06
455.0,6.0319347880664084e-06
456.0,8.543624675701778e-06
457.0,1.1826277289464607e-05
458.0,1.4255537200092637e-05
459.0,1.479860528390569e-05
460.0,1.506044168145841e-05
461.0,1.8886162379034293e-05
462.0,1.9899566214006864e-05
463.0,1.9851077992237844e-05
464.0,2.098570238163297e-05
465.0,2.0849935360679705e-05
466.0,1.8546744826651136e-05
467.0,1.712119110664187e-05
468.0,1.866311655889679e-05
469.0,1.9851077992237844e-05
470.0,1.2495414749877117e-05
471.0,5.207635017993025e-06
472.0,6.2064923864348895e-06
473.0,1.0109794238841207e-05
474.0,1.1899009622118141e-05
475.0,1.1496557381435252e-05
476.0,1.1016523985921927e-05
477.0,1.0754687588369207e-05
478.0,1.0648013500477358e-05
479.0,8.538775853524876e-06
480.0,6.511968183579731e-06
481.0,7.913277792704484e-06
482.0,1.03085959480942e-05
483.0,1.1612929113680906e-05
484.0,1.2025078998717598e-05
485.0,1.3179098676820335e-05
486.0,1.591383438459321e-05
487.0,1.8570988937535646e-05
488.0,1.9264370508832667e-05
489.0,2.0035333234960127e-05
490.0,1.982683388135333e-05
491.0,1.859523304842016e-05
