wavelength,intensity
91.00781,0.0
91.48993,2.9860647076682477e-06
91.97205,7.241163155475355e-06
92.45416,1.21159556239571e-05
92.93628,1.753274943537298e-05
93.4184,2.285297895313585e-05
93.90051,2.5949107075397606e-05
94.38263,2.895641447302286e-05
94.86475,3.447872350383031e-05
95.34686,3.827368327351593e-05
95.82898,4.129775304940673e-05
96.3111,4.877255670147612e-05
96.79321,5.683411147635028e-05
97.27533,6.479776853147278e-05
97.75745,7.397566763613513e-05
98.23956,8.122262028528971e-05
98.72168,8.489521517851903e-05
99.2038,8.535750188486489e-05
99.68591,7.873653217874839e-05
100.168,6.788559547016767e-05
100.6501,5.343499015389826e-05
101.1323,4.046083179520687e-05
101.6144,3.085715276636855e-05
102.0965,2.495272260626596e-05
102.5786,1.826819453905463e-05
103.0607,1.038389815650149e-05
103.5428,2.115885382157015e-06
104.025,5.308262624630278e-06
104.5071,1.2484999479841131e-05
104.9892,1.785903152847891e-05
105.4713,2.0830186107953185e-05
105.9534,2.0935342514503663e-05
106.4355,1.9821955966243366e-05
106.9177,1.867359971244325e-05
107.3998,1.6399603936741806e-05
107.8819,9.09361202876127e-06
108.364,3.6673048282343077e-06
108.8461,2.0898040525496755e-05
109.3282,4.25984205054277e-05
109.8104,6.94885675936298e-05
110.2925,9.924515894639595e-05
110.7746,0.00013287348631919679
111.2567,0.0001696715372372604
111.7388,0.00020598102083277934
112.2209,0.00024378292340612704
112.7031,0.0002791950354813667
113.1852,0.00031004052683039976
113.6673,0.0003320223712400556
114.1494,0.0003526322899029786
114.6315,0.0003741134449346474
115.1136,0.0003968662035822089
115.5958,0.00041837063296032683
116.0779,0.00043026954560600146
116.56,0.0004427879437729971
117.0421,0.00046724356028086483
117.5242,0.0005188647030348275
118.0063,0.000575357845335698
118.4885,0.0006231657773533013
118.9706,0.0006584438679835713
119.4527,0.0006996797064226012
119.9348,0.0007513332393087054
120.4169,0.0008157236582890968
120.899,0.0008983970461697156
121.3812,0.0010000535728729068
121.8633,0.0011221440059939994
122.3454,0.0012626526901540554
122.8275,0.0014189471997932343
123.3096,0.001601713854107211
123.7917,0.0018172997613255506
124.2739,0.0020662751429362572
124.756,0.0023507186890065683
125.2381,0.0026834754143653158
125.7202,0.003052483388965237
126.2023,0.003440566145126875
126.6844,0.0038742341332202233
127.1666,0.00429147382689601
127.6487,0.004649785299773685
128.1308,0.004944145172077979
128.6129,0.0050812844097073056
129.095,0.004953459759479808
129.5771,0.0045989478236599535
130.0593,0.004143737973281281
130.5414,0.0035772878991667703
131.0235,0.0029562158432294553
131.5056,0.0024164522317299615
131.9877,0.00195616614941429
132.4698,0.0015671984832053678
132.952,0.0012631487246627525
133.4341,0.0010404738394217817
133.9162,0.0008660815858895327
134.3983,0.0007384974372420098
134.8804,0.0006531804715105439
135.3625,0.0005772997986175474
135.8447,0.0005093343430461262
136.3268,0.0004529249399042508
136.8089,0.00041419148161427657
137.291,0.0003946053917540064
137.7731,0.00038162877989129354
138.2552,0.0003711122664482538
138.7374,0.0003632534409285959
139.2195,0.00035611839909528427
139.7016,0.0003496473064826558
140.1837,0.0003438425390135772
140.6658,0.00033873328659755355
141.1479,0.00033424046494487944
141.6301,0.00033047768195915974
142.1122,0.00032795430641007807
142.5943,0.0003281241121627132
143.0764,0.000325312183205884
143.5585,0.00031810019056462493
144.0406,0.0003079648915211332
144.5228,0.00030017370707084316
145.0049,0.0002963845464924811
145.487,0.0002928802057287903
145.9691,0.000287719022427252
146.4512,0.0002807173232038051
146.9333,0.00027239785957734156
147.4155,0.0002629572997753564
147.8976,0.00025230506779958515
148.3797,0.00023983637005990272
148.8618,0.0002204684771975932
149.3439,0.00020206860319468045
149.826,0.00018911095022667925
150.3082,0.00018766411017731336
150.7903,0.0001847607809224496
151.2724,0.0001790696213569759
151.7545,0.0001705451495288729
152.2366,0.0001612313864268137
152.7188,0.00014932471566565607
153.2009,0.00013752496143349912
153.683,0.00012809744496316983
154.1651,0.00012566105728394175
154.6472,0.00012127893424156634
155.1293,0.00011187391630613786
155.6115,9.655643856108187e-05
156.0936,8.2840672245722e-05
156.5757,7.143643643853497e-05
157.0578,6.24983600787422e-05
157.5399,5.628823107567462e-05
158.022,5.481307390479565e-05
158.5042,5.4267872339224755e-05
158.9863,5.2761731194635376e-05
159.4684,4.955568997126761e-05
159.9505,4.8694490664428e-05
160.4326,5.19026653695536e-05
160.9147,5.7967184242648796e-05
161.3969,6.511973032401909e-05
161.879,7.525013205711213e-05
162.3611,8.451225520298728e-05
162.8432,9.039615544999286e-05
163.3253,9.131190400632262e-05
163.8074,9.312356943627862e-05
164.2896,9.812760241106351e-05
164.7717,0.00010584120570652316
165.2538,0.00011539561585322199
165.7359,0.00012860337106910782
166.218,0.0001422939235091478
166.7001,0.00015356476821824826
167.1823,0.00016046119951223457
167.6644,0.00016782166308855042
168.1465,0.00017838894369978235
168.6286,0.00019174909739668822
169.1107,0.00020676711188409873
169.5928,0.00022344099914492136
170.075,0.00024114647332387995
170.5571,0.00025965326385579343
171.0392,0.0002788911113073185
171.5213,0.00029849649947985264
172.0034,0.00031794847091870965
172.4855,0.0003374785568828366
172.9677,0.0003574748570992726
173.4498,0.0003766331838670965
173.9319,0.0003969978975925335
174.414,0.000421665601582419
174.8961,0.00045290724170330505
175.3782,0.00048713158629809067
175.8604,0.0005210980705295087
176.3425,0.0005552095345440161
176.8246,0.0005911402766392972
177.3067,0.000630632478623513
177.7888,0.0006733496322375865
178.2709,0.0007177677526713173
178.7531,0.000763300617323518
179.2352,0.0008110552122971752
179.7173,0.0008636014133460474
180.1994,0.0009210168016249646
180.6815,0.0009801263683724916
181.1636,0.0010356880519331792
181.6458,0.0010901994806103497
182.1279,0.0011492120709143386
182.61,0.0012164938425588167
183.0921,0.0012889206994152057
183.5742,0.001361812073436142
184.0563,0.001433756957368147
184.5385,0.0015086154985462523
185.0206,0.0015878787097898558
185.5027,0.0016722928248319826
185.9848,0.001761499030831542
186.4669,0.0018568894246355223
186.949,0.0019570229362929487
187.4312,0.0020615097205007975
187.9133,0.00216850237600967
188.3954,0.002279483187759044
188.8775,0.0023938790249676107
189.3596,0.0025112156728264684
189.8417,0.0026332193120305945
190.3239,0.002759126253087127
190.806,0.0028899465056555144
191.2881,0.00302552830160162
191.7702,0.0031648310836862805
192.2523,0.0033072409910219
192.7344,0.0034532889696368483
193.2166,0.0036023955852809877
193.6987,0.0037543305189009137
194.1808,0.0039123672103482535
194.6629,0.004075220721746128
195.145,0.0042346519344515455
195.6271,0.004389822971992335
196.1093,0.004543803138806479
196.5914,0.004701305005167707
197.0735,0.00486259283188466
197.5556,0.0050241458891746886
198.0377,0.005185281947757505
198.5198,0.005347412014886586
199.002,0.005503214369074809
199.4841,0.0056526599173891134
199.9662,0.005796185053825421
200.4483,0.005938948925179954
200.9304,0.006082328596950954
201.4125,0.006216417925431009
201.8947,0.00633918040530582
202.3768,0.006451372452834984
202.8589,0.006542404240384147
203.341,0.006610224716172479
203.8231,0.006659886352908312
204.3052,0.006702376581644506
204.7874,0.006741390204879862
205.2695,0.0067596217762650145
205.7516,0.006746525107565201
206.2337,0.0066988126973444835
206.7158,0.0066431239746427605
207.1979,0.006581403317152972
207.6801,0.006509897736510195
208.1622,0.00642163947524622
208.6443,0.0063146114233354565
209.1264,0.006195936500555774
209.6085,0.006068625825479027
210.0906,0.005932858804525765
210.5728,0.005786312851873247
211.0549,0.005628018203086097
211.537,0.005460491396874123
212.0191,0.005293876169231409
212.5012,0.005128429507733326
212.9833,0.004960165680550464
213.4655,0.004788890734795746
213.9476,0.00461333282441217
214.4297,0.004435543970945
214.9118,0.004252698765711758
215.3939,0.004069467594233234
215.876,0.0038917858997361745
216.3581,0.003721155847330984
216.8403,0.0035559598699394478
217.3224,0.003398114706968096
217.8045,0.003248440779129259
218.2866,0.0030991271187781663
218.7687,0.0029482511679216755
219.2508,0.002798846349713657
219.733,0.002663813440437977
220.2151,0.002547484862709697
220.6972,0.0024376391602319355
221.1793,0.0023298576013548815
221.6614,0.0022217802643250367
222.1435,0.0021192359182812546
222.6257,0.002021920542073044
223.1078,0.0019301720986061345
223.5899,0.0018416806089954507
224.072,0.001754228221977277
224.5541,0.0016733353216000168
225.0362,0.001601030170180268
225.5184,0.0015428884283392506
226.0005,0.0014801931575919045
226.4826,0.00140829433747058
226.9647,0.00133287624221326
227.4468,0.0012679529376756272
227.9289,0.0012190705066636226
228.4111,0.0011729165078905607
228.8932,0.0011227525331772008
229.3753,0.001064491025428414
229.8574,0.001012066529816182
230.3395,0.0009685367136052598
230.8216,0.0009310737437020776
231.3038,0.0008900750126674983
231.7859,0.000841386049660352
232.268,0.0007956800820564359
232.7501,0.0007582985723658257
233.2322,0.0007333402299746567
233.7143,0.0007077209931207758
234.1965,0.0006806883246023281
234.6786,0.0006526441917777785
235.1607,0.0006243702247820437
235.6428,0.0005944985708790198
236.1249,0.0005663991614816534
236.607,0.0005418263004535481
237.0892,0.00052276461071171
237.5713,0.0005024853817212517
238.0534,0.00047946981691170213
238.5355,0.00045596936988446233
239.0176,0.0004378760869077951
239.4997,0.00042820137748288736
239.9819,0.0004184051080860046
240.464,0.0004048255936738157
240.9461,0.00038478410243469093
241.4282,0.0003676640750453715
241.9103,0.0003537351060188932
242.3924,0.0003425037792105345
242.8746,0.0003330975005813401
243.3567,0.00032632262925932866
243.8388,0.00032045899708902254
244.3209,0.00031457267243092853
244.803,0.00030776735050564623
245.2851,0.0003038066385986654
245.7673,0.000303666071243757
246.2494,0.0003055727735883803
246.7315,0.0003056605372697822
247.2136,0.00030181202710797487
247.6957,0.00029961395903874155
248.1778,0.00030193523567948995
248.66,0.00031134422964910346
249.1421,0.00031761385370028165
249.6242,0.00031945257555798475
250.1063,0.00031875153284764826
250.5884,0.00031925256164318754
251.0705,0.0003216454553874888
251.5527,0.000323970756550644
252.0348,0.0003250721180199056
252.5169,0.0003237551294284372
252.999,0.0003255827474833552
253.4811,0.00033122289743952796
253.9632,0.0003397454782269819
254.4454,0.0003494065624615726
254.9275,0.0003601103374170843
255.4096,0.0003719418514344999
255.8917,0.0003848355484379879
256.3738,0.00039850951790618285
256.856,0.00041400824462421146
257.3381,0.0004299965569174419
257.8202,0.0004488936776345959
258.3023,0.00047512774514050794
258.7844,0.0005102658017863091
259.2665,0.000548990920102139
259.7487,0.0005893854878934763
260.2308,0.0006306916342540712
260.7129,0.0006777227849589346
261.195,0.0007308057506227898
261.6771,0.0007889523412859841
262.1592,0.0008523298413136203
262.6414,0.000924034223665651
263.1235,0.0009927066375104647
263.6056,0.0010592950275836457
264.0877,0.0011261680435186107
264.5698,0.0011629245400306182
265.0519,0.0011710545601746304
265.5341,0.0011472041736508836
266.0162,0.0010812412816385228
266.4983,0.0009617570904375152
266.9804,0.0008363505478296389
267.4625,0.0007115311975873856
267.9446,0.0005885495509501783
268.4268,0.00047912981750065773
268.9089,0.0003849993416511236
269.391,0.0003052355380059767
269.8731,0.00023939192701916788
270.3552,0.00018914721941656244
270.8373,0.00014819765543885692
271.3195,0.00011587933435358976
271.8016,9.190263601213463e-05
272.2837,7.220982357575088e-05
272.7658,5.681258270588483e-05
273.2479,4.437790430259559e-05
273.73,3.378934221082923e-05
274.2122,2.5378890436216077e-05
274.6943,1.7767422731090697e-05
275.1764,1.0553786339113615e-05
275.6585,3.727546594960141e-06
276.1406,2.9615927021414225e-06
276.6227,9.650586534577677e-06
277.1049,1.5348597485787357e-05
277.587,1.924723962008167e-05
278.0691,2.130507975195899e-05
278.5512,2.189357645074744e-05
279.0333,2.0490152755153557e-05
279.5154,1.799482279354306e-05
279.9976,1.7400817832761646e-05
280.4797,1.898177630354063e-05
280.9618,2.120371997317303e-05
281.4439,2.34979886743961e-05
281.926,2.5826363990811504e-05
282.4081,2.6701484266120996e-05
282.8903,2.5438783087745174e-05
283.3724,2.3175624429609105e-05
283.8545,2.2839906528546927e-05
284.3366,2.4597585172385285e-05
284.8187,2.655114168570397e-05
285.3008,2.7935848927695006e-05
285.783,2.8692032443827267e-05
286.2651,2.7228643364371632e-05
286.7472,2.2749199612083615e-05
287.2293,1.728339875492578e-05
287.7114,1.4604322676921569e-05
288.1935,1.4696106031908152e-05
288.6757,1.5624422735320444e-05
289.1578,1.6379718916994332e-05
289.6399,1.7070646984269843e-05
290.122,1.8302499955956214e-05
290.6041,2.0386790412808532e-05
291.0862,2.219932863075637e-05
291.5684,2.1890468355732048e-05
292.0505,1.9638893533776596e-05
292.5326,1.7045457353060836e-05
293.0147,1.4870935164318541e-05
293.4968,1.2960479831330344e-05
293.9789,1.0557447199857178e-05
294.4611,7.459200142304119e-06
294.9432,4.948295763861408e-06
295.4253,5.5634270428675816e-06
295.9074,8.452922608060643e-06
296.3895,9.865704530455947e-06
296.8716,6.78251306576217e-06
297.3538,1.5131476926350028e-06
297.8359,1.029162507047504e-06
298.318,7.592916111476552e-07
298.8001,2.737693440812562e-07
299.2822,1.9201335335650724e-08
299.7643,1.0509337186217951e-06
300.2465,1.3166394762716853e-06
300.7286,1.92546738342433e-08
301.2107,2.138708788143694e-06
301.6928,4.917316638973179e-06
302.1749,8.165833544610615e-06
302.657,1.0233865900703782e-05
303.1392,9.082774911195894e-06
303.6213,5.928053621748455e-06
304.1034,2.761181183925698e-06
304.5855,1.4205594331670542e-07
305.0676,2.4934777115389248e-06
305.5497,3.6402968887089618e-06
306.0319,3.8127985864744366e-06
306.514,4.1608712864433655e-06
306.9961,5.412197127992177e-06
307.4782,7.288715554564235e-06
307.9603,9.499356619702275e-06
308.4424,1.2088520988080188e-05
308.9246,1.4784184886751582e-05
309.4067,1.787916383815741e-05
309.8888,2.09998657912117e-05
310.3709,2.3089911799988003e-05
310.853,2.2438768318673976e-05
311.3351,2.112398109247387e-05
311.8173,2.0995133340767045e-05
312.2994,2.260350220331205e-05
312.7815,2.4539375062151574e-05
313.2636,2.5860029363185734e-05
313.7457,2.693350525610795e-05
314.2278,2.8423756810423618e-05
314.71,3.1818451158228126e-05
315.1921,3.485285377417791e-05
315.6742,3.580928394857188e-05
316.1563,3.416410282805983e-05
316.6384,3.27025611498536e-05
317.1205,3.2806330793261487e-05
317.6027,3.3776987411922486e-05
318.0848,3.479526916200502e-05
318.5669,3.6323011809392505e-05
319.049,3.712296079449348e-05
319.5311,3.601545101871159e-05
320.0132,3.294794064493792e-05
320.4954,3.1291311455266196e-05
320.9775,3.2159682170105446e-05
321.4596,3.4620881272412735e-05
321.9417,3.7859967218916095e-05
322.4238,4.450428885263655e-05
322.9059,4.925525694918674e-05
323.3881,5.02099900358188e-05
323.8702,4.7690881450252766e-05
324.3523,4.545859524291703e-05
324.8344,4.4061106505667686e-05
325.3165,4.301306268506332e-05
325.7986,4.200421189411486e-05
326.2808,4.1261954195274664e-05
326.7629,4.037092493440275e-05
327.245,3.939098282127298e-05
327.7271,3.8269004160115214e-05
328.2092,3.676795427881158e-05
328.6913,3.297799849361253e-05
329.1735,3.0500647964633984e-05
329.6556,3.108261329995015e-05
330.1377,3.8265527554614374e-05
330.6198,4.161054087039434e-05
331.1019,3.7958000705688707e-05
331.584,3.140845415023798e-05
332.0662,2.9889347255147564e-05
332.5483,3.680629876458653e-05
333.0304,4.3908548013515806e-05
333.5125,4.8453930898587515e-05
333.9946,4.9944953415629325e-05
334.4767,5.138767196614482e-05
334.9589,5.259755007572547e-05
335.441,5.388612456923724e-05
335.9231,5.535822698214477e-05
336.4052,5.6261417089036346e-05
336.8873,5.962412375693984e-05
337.3694,6.687815568647268e-05
337.8516,7.765219007532773e-05
338.3336,8.663953046843783e-05
338.8158,9.273973667275503e-05
339.2979,9.935129966384833e-05
339.78,0.00011019399337472832
340.2621,0.00012586834443200433
340.7442,0.000141655915487111
341.2263,0.00015689537568334063
341.7085,0.000171359218284153
342.1906,0.00018327398657834606
342.6727,0.00019244834604281927
343.1548,0.0002008593554319828
343.6369,0.00020965298537912566
344.119,0.000218877918058904
344.6012,0.0002290502621038272
345.0833,0.00023979176089587525
345.5654,0.00025216430649178966
346.0475,0.0002683576754748813
346.5296,0.00028813466346425603
347.0117,0.00030996609740998433
347.4939,0.0003310953249280536
347.976,0.0003531852010958108
348.4581,0.0003818922648883864
348.9402,0.00041749081417632794
349.4223,0.00045963522491486577
349.9044,0.0005096252723767403
350.3866,0.0005668190694821731
350.8687,0.0006292500794208781
351.3508,0.0006955106891149005
351.8329,0.0007674449056381163
352.315,0.0008477220055989101
352.7971,0.0009367245610670395
353.2793,0.0010338571366791808
353.7614,0.0011506788396228517
354.2435,0.0012749454241369382
354.7256,0.0013914611664012464
355.2077,0.0015181027040175794
355.6898,0.0016065156427089976
356.172,0.0016141990863305167
356.6541,0.0015463592152534773
357.1362,0.001428789823930128
357.6183,0.0012352810889654422
358.1004,0.0010201063618677038
358.5826,0.0008295272852623021
359.0647,0.0006710624428167417
359.5468,0.0005401898229688436
360.0289,0.0004411739163349716
360.511,0.000367636679200072
360.9931,0.00030737023196935795
361.4753,0.00026073852723542773
361.9574,0.0002231454634332392
362.4395,0.00019348730317066414
362.9216,0.00017218608792998015
363.4037,0.00015388551780525035
363.8858,0.0001374401555336251
364.368,0.00012313811812885597
364.8501,0.00011113975614033311
365.3322,0.00010340796976171007
365.8143,9.599407216500476e-05
366.2964,8.732849961155388e-05
366.7785,7.761761797320642e-05
367.2607,7.072167156143781e-05
367.7428,6.97565135071254e-05
368.2249,6.945971710167722e-05
368.707,6.67549471149576e-05
369.1891,5.934182532980059e-05
369.6712,5.253829746872372e-05
370.1534,4.6739702550276385e-05
370.6355,4.171577000927748e-05
371.1176,3.6649221170165774e-05
371.5997,3.087176711640973e-05
372.0818,2.5891231533894098e-05
372.5639,2.237817258792923e-05
373.0461,2.0586814025250105e-05
373.5282,1.9389867724415254e-05
374.0103,1.9131081236011804e-05
374.4924,1.8996385804759636e-05
374.9745,1.7533995582672445e-05
375.4566,1.4110828951045166e-05
375.9388,1.1559975126686956e-05
376.4209,1.1266248025676749e-05
376.903,1.297549663361221e-05
377.3851,1.1963018923675427e-05
377.8672,7.334939376376645e-06
378.3493,2.643669978468472e-06
378.8315,1.828112634780043e-06
379.3136,5.039152993812201e-06
379.7957,7.825693517723098e-06
380.2778,9.637824434608072e-06
380.7599,1.0443621099254396e-05
381.242,9.721728453557189e-06
381.7242,7.365753641310857e-06
382.2063,5.545597923723111e-06
382.6884,6.013194090352681e-06
383.1705,8.247793185866794e-06
383.6526,1.0178041410981106e-05
384.1347,1.140549165213085e-05
384.6169,1.3090437963315677e-05
385.099,1.595817686340098e-05
385.5811,2.028542578520039e-05
386.0632,2.6786939908166726e-05
386.5453,3.736144041562007e-05
387.0274,4.9540464669632135e-05
387.5096,5.910694838355144e-05
387.9917,6.625129995544277e-05
388.4738,7.508231432156954e-05
388.9559,8.903082410142072e-05
389.438,0.0001058865421938772
389.9201,0.00012320963825596527
390.4023,0.00013956214558290283
390.8844,0.00015731508973097332
391.3665,0.00017813641704080927
391.8486,0.00020168040649119767
392.3307,0.00022621311927167818
392.8128,0.000254523597898405
393.295,0.00028114780163667055
393.7771,0.000303791607249917
